,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,6.250103524507722e-06,2.588702591310721e-05,1.8087838731365933e-05,9.608574956057511e-06,,,,
2,2021-09-03,-1.2758702723658644e-05,1.1389238352421671e-05,-1.1488854098106143e-05,5.389964216352995e-06,,,,
3,2021-09-04,-7.976085726113524e-06,3.805388644195773e-07,-6.307197141706769e-06,3.3408211978719094e-06,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,-1.0906071565841557e-06,4.29228612119914e-06,1.0006159000422302e-06,2.134384805219813e-06,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,5.826379037898732e-06,1.3861791558156256e-05,9.932177321582899e-06,1.8910111689303783e-06,,,,
13,2021-09-14,1.4335212654259522e-05,1.4335212654259522e-05,1.4335212654259522e-05,0.0,,,,
14,2021-09-15,2.5883489342959365e-06,7.276373253262136e-06,4.462845392514748e-06,2.2324151156548648e-06,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,NaN,NaN,NaN,NaN,,,,
17,2021-09-18,1.2131434232287575e-05,1.936246917466633e-05,1.3766720660876247e-05,2.7987048493704957e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,-7.663109499844722e-06,1.1455451385700144e-05,6.7302112195908644e-06,6.260434568645935e-06,,,,
21,2021-09-22,2.1138391730346484e-06,1.2877634617325384e-05,1.1281088250897164e-05,2.5795478805520182e-06,,,,
22,2021-09-23,-3.398637034024432e-07,1.3708133337786421e-05,4.8209989618146534e-06,4.895072250746447e-06,,,,
23,2021-09-24,3.122794169030385e-06,1.3320745892997365e-05,9.175679560250102e-06,5.008953129259906e-06,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,7.98672772361897e-06,1.1286922926956322e-05,1.0872536900615497e-05,4.08790872774429e-07,,,,
27,2021-09-28,NaN,NaN,NaN,NaN,,,,
28,2021-09-29,-4.003228241344914e-06,1.589785142641631e-06,-1.6088839703873488e-06,7.163542332518793e-07,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
