,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,NaN,NaN,NaN,NaN,,,,
2,2021-09-03,NaN,NaN,NaN,NaN,,,,
3,2021-09-04,NaN,NaN,NaN,NaN,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,2.5298779291915707e-05,2.5298779291915707e-05,2.5298779291915707e-05,0.0,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,NaN,NaN,NaN,NaN,,,,
14,2021-09-15,NaN,NaN,NaN,NaN,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,1.1998056834272575e-05,1.1998056834272575e-05,1.1998056834272575e-05,0.0,,,,
17,2021-09-18,-9.404378943145275e-06,-6.486717666120967e-06,-8.479584520517036e-06,1.3575684704596548e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,1.4180110383676947e-06,1.4180110383676947e-06,1.4180110383676947e-06,0.0,,,,
21,2021-09-22,5.368497681956796e-07,1.96605014934903e-05,1.0500357523018782e-05,8.032627499028198e-06,,,,
22,2021-09-23,-4.506894697442476e-07,2.296234742971137e-05,1.2829667018368077e-05,1.1142549170168876e-05,,,,
23,2021-09-24,NaN,NaN,NaN,NaN,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,2.5515926608932205e-05,2.5515926608932205e-05,2.5515926608932205e-05,0.0,,,,
28,2021-09-29,1.7160265997517854e-05,3.7564761441899464e-05,2.2706323063800452e-05,5.650792869894096e-06,,,,
29,2021-09-30,1.890397834358737e-05,1.890397834358737e-05,1.890397834358737e-05,0.0,,,,
