,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,4.289701973902993e-05,4.289701973902993e-05,4.289701973902993e-05,0.0,,,,
2,2021-09-03,6.467448838520795e-05,9.068685176316649e-05,7.622059584423814e-05,8.269477527436403e-06,,,,
3,2021-09-04,5.6156335631385446e-05,8.299890032503754e-05,6.872176424433236e-05,1.0776050127454006e-05,,,,
4,2021-09-05,7.740745786577463e-05,7.740745786577463e-05,7.740745786577463e-05,0.0,,,,
5,2021-09-06,7.312559318961576e-05,7.312559318961576e-05,7.312559318961576e-05,0.0,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,4.85251221107319e-05,0.00010115191253134981,8.443925614380579e-05,1.0154641873644317e-05,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,2.1598769308184274e-05,5.893612251384184e-05,4.039387035753335e-05,1.866824852417411e-05,,,,
14,2021-09-15,NaN,NaN,NaN,NaN,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,2.884643618017435e-05,3.583645593607798e-05,2.914547445850177e-05,1.4145174376355697e-06,,,,
17,2021-09-18,8.635764970676973e-06,8.635764970676973e-06,8.635764970676973e-06,0.0,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,5.762003183917841e-06,2.4591292458353564e-05,1.5390376794617046e-05,6.074253156034796e-06,,,,
21,2021-09-22,1.2061534107488114e-05,3.2499687222298235e-05,1.9766851528974137e-05,4.730527297787549e-06,,,,
22,2021-09-23,1.1223995898035355e-05,1.3328936802281532e-05,1.1959784575587153e-05,1.0036965209895684e-06,,,,
23,2021-09-24,NaN,NaN,NaN,NaN,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,NaN,NaN,NaN,NaN,,,,
28,2021-09-29,NaN,NaN,NaN,NaN,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
