,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,1.399816210323479e-05,2.2007165171089582e-05,1.9070068860113055e-05,3.519479636222725e-06,,,,
1,2021-09-02,2.5447581720072776e-05,3.90449604310561e-05,3.3596452481866145e-05,4.7648755328751e-06,,,,
2,2021-09-03,NaN,NaN,NaN,NaN,,,,
3,2021-09-04,NaN,NaN,NaN,NaN,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,1.3677847164217383e-05,2.5994786483352073e-05,1.8992543505848824e-05,4.1449773899238344e-06,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,2.624435001052916e-05,3.02830394502962e-05,2.893985434334146e-05,1.8186596196754296e-06,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,2.01033653866034e-05,4.690717833000235e-05,3.1783841115755385e-05,8.521058811043326e-06,,,,
14,2021-09-15,2.0263256374164484e-05,5.0906306569231674e-05,3.971163709676035e-05,1.0549063764076415e-05,,,,
15,2021-09-16,1.5334609997808002e-05,3.5575001675169915e-05,1.9993224147835163e-05,6.83282653805821e-06,,,,
16,2021-09-17,-3.456067815932329e-06,1.1909514796570875e-07,-1.5601885777844538e-06,1.7842979433405573e-06,,,,
17,2021-09-18,1.5864352462813258e-05,1.5864352462813258e-05,1.5864352462813258e-05,0.0,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,-2.307740032847505e-06,2.3131531634135172e-05,1.612453696459313e-05,4.9747785557573665e-06,,,,
21,2021-09-22,1.305537352891406e-05,2.7254789529251866e-05,2.1000491238590115e-05,3.9182699428659885e-06,,,,
22,2021-09-23,1.9869935385941062e-06,3.012564775417559e-05,2.0967130821552932e-05,1.0855122098007357e-05,,,,
23,2021-09-24,2.5186411221511662e-05,3.5469038266455755e-05,2.9970709288648603e-05,3.0023928285123817e-06,,,,
24,2021-09-25,1.742024687700905e-05,3.0281344152172096e-05,2.379742154409139e-05,4.409219375176356e-06,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,4.378489393275231e-06,8.389490540139377e-05,4.829132832371839e-05,2.12439653145899e-05,,,,
27,2021-09-28,3.4059936297126114e-05,6.25851025688462e-05,5.804365352843615e-05,7.724086796815001e-06,,,,
28,2021-09-29,2.9452479793690145e-05,2.9452479793690145e-05,2.9452479793690145e-05,0.0,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
