,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,NaN,NaN,NaN,NaN,,,,
2,2021-09-03,-2.0459794541238807e-05,2.714105721679516e-05,4.385415971968035e-06,1.1633590690753226e-05,,,,
3,2021-09-04,6.45347745376057e-06,1.3863414096704219e-05,7.137875652338179e-06,1.6683611757409942e-06,,,,
4,2021-09-05,-3.6842277495452436e-07,1.5611673006787896e-05,7.69702474724139e-06,4.989731839561445e-06,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,-2.6575935407890938e-05,5.813632014906034e-06,2.8329969759983384e-06,9.36254742686453e-06,,,,
11,2021-09-12,1.5438295122294221e-06,2.2633470507571474e-05,1.3388101628054775e-05,7.931573979445822e-06,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,NaN,NaN,NaN,NaN,,,,
14,2021-09-15,1.416471422999166e-05,2.992596637341194e-05,2.3299589281697022e-05,7.5641410702128935e-06,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,NaN,NaN,NaN,NaN,,,,
17,2021-09-18,1.3346189007279463e-05,2.784300704661291e-05,2.298949626632608e-05,6.465312013650643e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,NaN,NaN,NaN,NaN,,,,
21,2021-09-22,6.322631634247955e-06,2.3822807634132914e-05,1.4033344987044675e-05,4.26674660437381e-06,,,,
22,2021-09-23,3.5454751923680305e-05,3.613115768530406e-05,3.5862050016701104e-05,3.3106953988440127e-07,,,,
23,2021-09-24,NaN,NaN,NaN,NaN,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,8.814407692625537e-07,2.713272988330573e-05,1.975480758790448e-05,6.0516340898498215e-06,,,,
27,2021-09-28,NaN,NaN,NaN,NaN,,,,
28,2021-09-29,7.559262030554237e-06,7.559262030554237e-06,7.559262030554237e-06,0.0,,,,
29,2021-09-30,6.97223867973662e-06,1.9087217879132368e-05,1.2747678419895392e-05,3.638825960240277e-06,,,,
