,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,NaN,NaN,NaN,NaN,,,,
2,2021-09-03,NaN,NaN,NaN,NaN,,,,
3,2021-09-04,NaN,NaN,NaN,NaN,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,-1.8087348507833667e-06,-1.8087348507833667e-06,-1.8087348507833667e-06,0.0,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,NaN,NaN,NaN,NaN,,,,
14,2021-09-15,NaN,NaN,NaN,NaN,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,NaN,NaN,NaN,NaN,,,,
17,2021-09-18,-9.404378943145275e-06,2.254569153592456e-05,-3.06785545849379e-06,6.374415252136465e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,3.426236617087852e-06,5.237303867033916e-06,4.464178986046153e-06,8.958007984329126e-07,,,,
21,2021-09-22,-4.5716956265096087e-07,2.1132473193574697e-05,7.537982018687938e-06,7.3625629800824e-06,,,,
22,2021-09-23,6.779014256608207e-07,1.7365879102726467e-05,1.0056354391080148e-05,7.97556923287418e-06,,,,
23,2021-09-24,NaN,NaN,NaN,NaN,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,NaN,NaN,NaN,NaN,,,,
28,2021-09-29,2.8907525120303035e-05,3.7564761441899464e-05,3.432036121182649e-05,4.190633205219201e-06,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
