,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,-1.94874402836831e-07,4.6475105364152114e-07,-1.2308764884637384e-07,2.0542403053578739e-07,,,,
1,2021-09-02,9.292549520978355e-07,2.7906351533601992e-05,1.4803963092298607e-05,6.684481092245626e-06,,,,
2,2021-09-03,-7.690912752877921e-06,3.0796083592576906e-05,1.0462503309143705e-05,9.16180669224877e-06,,,,
3,2021-09-04,5.481024800246814e-06,2.0407818738021888e-05,1.0417807139125137e-05,4.270949789904038e-06,,,,
4,2021-09-05,-8.00601628725417e-06,2.3599399355589412e-05,1.363602051675877e-05,8.319608586241714e-06,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,-7.38047629056382e-06,2.5735511371749453e-05,6.71369424090921e-06,8.695100676391342e-06,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,3.9597880459041335e-06,3.6219691537553445e-05,1.8343315574739246e-05,6.079127604172996e-06,,,,
13,2021-09-14,NaN,NaN,NaN,NaN,,,,
14,2021-09-15,NaN,NaN,NaN,NaN,,,,
15,2021-09-16,1.3916226635046769e-05,1.3916226635046769e-05,1.3916226635046769e-05,0.0,,,,
16,2021-09-17,-2.253946877317503e-05,3.7903064367128536e-05,1.0382473913866134e-05,1.3301511736430925e-05,,,,
17,2021-09-18,-2.3812240215193015e-06,5.857339419890195e-05,1.8930905411621274e-05,1.651617001037132e-05,,,,
18,2021-09-19,-4.894845005765092e-06,2.8999264031881467e-05,1.775207774844414e-05,8.900712014125574e-06,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,-5.018458068661857e-06,2.8038251912221313e-05,1.0079813055621935e-05,7.946034999914054e-06,,,,
21,2021-09-22,8.916961178329075e-07,2.4352260879823007e-05,1.678841397560363e-05,6.991318715543393e-06,,,,
22,2021-09-23,-3.6402504974830663e-06,2.8467127776821144e-05,1.0226443388420765e-05,6.726158685502679e-06,,,,
23,2021-09-24,-4.1681445850372256e-07,2.1644877051585354e-05,9.084810440140915e-06,8.136736589499434e-06,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,-1.52306256495649e-05,3.982858106610365e-05,1.230812970582114e-05,9.72829608829722e-06,,,,
27,2021-09-28,-7.043820914987009e-06,2.2286551029537804e-05,1.059577296545836e-05,8.829382350472152e-06,,,,
28,2021-09-29,3.249318069720175e-06,2.673433664313052e-05,1.3390667776633108e-05,6.409700372710679e-06,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
