,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,4.736749360745307e-06,2.2507234461954795e-05,1.6210662820375163e-05,4.5467697750060414e-06,,,,
2,2021-09-03,4.961925242241705e-06,6.295370440057013e-06,5.0942198051745625e-06,3.9862977593037246e-07,,,,
3,2021-09-04,1.8289161971551948e-06,1.3337572454474866e-05,1.305359062881322e-05,1.7285926395484896e-06,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,7.188673976088467e-07,2.979461169161368e-05,1.6806407345910283e-05,7.965886127859162e-06,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,8.747248102736194e-06,8.747248102736194e-06,8.747248102736194e-06,0.0,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,5.7378606470592786e-06,2.372327071498148e-05,1.6570981104775237e-05,5.965463249127563e-06,,,,
13,2021-09-14,NaN,NaN,NaN,NaN,,,,
14,2021-09-15,-4.968496796209365e-06,2.137152296199929e-05,1.0706622069772088e-05,8.27428355639932e-06,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,1.0129755537491292e-05,1.614188659004867e-05,1.0469773231980403e-05,1.38874724370248e-06,,,,
17,2021-09-18,9.622180186852347e-06,3.120779001619667e-05,2.935254645636266e-05,4.718058380429795e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,3.0300268463179236e-06,4.165369682596065e-05,1.3586135451771225e-05,8.867572538081035e-06,,,,
21,2021-09-22,-2.4763412511674687e-06,2.940206104540266e-05,1.2611666279660645e-05,1.1181289642378671e-05,,,,
22,2021-09-23,-9.889167813526e-06,3.781526902457699e-05,1.1182931230739858e-05,1.7547691616868075e-05,,,,
23,2021-09-24,2.898632374126464e-06,1.803009581635706e-05,1.0393001381682937e-05,5.319980196182615e-06,,,,
24,2021-09-25,-6.937917078175815e-06,1.8651291611604393e-05,4.195730787851015e-06,1.0255393952764644e-05,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,6.578315151273273e-06,1.851855995482765e-05,1.0116576925156556e-05,5.418380784126613e-06,,,,
27,2021-09-28,7.359582923527341e-06,2.4747334464336745e-05,1.55623887408772e-05,3.940941309330679e-06,,,,
28,2021-09-29,8.12128018878866e-06,2.632912219269201e-05,9.031273169255542e-06,3.967482978980917e-06,,,,
29,2021-09-30,3.9520931750303134e-05,3.9520931750303134e-05,3.9520931750303134e-05,0.0,,,,
