,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,3.928393925889395e-05,3.928393925889395e-05,3.928393925889395e-05,0.0,,,,
1,2021-09-02,1.3633273738378193e-05,4.067458212375641e-05,1.6240828475539684e-05,7.982001633177232e-06,,,,
2,2021-09-03,1.8535940398578532e-05,5.168012285139412e-05,4.172035099312527e-05,1.070196901302484e-05,,,,
3,2021-09-04,3.5971701436210424e-05,5.113549195812084e-05,4.4733049451048643e-05,3.110670054305076e-06,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,2.5233197447960265e-05,7.453892612829804e-05,3.279261634807529e-05,1.533678991695142e-05,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,2.5736959287314676e-05,4.8169709771173075e-05,3.939444685570726e-05,6.987183068562954e-06,,,,
14,2021-09-15,1.3991085324960295e-05,5.0035792810376734e-05,2.0271442923056518e-05,6.866598746664813e-06,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,2.439413265165058e-06,1.9335166143719107e-05,1.373805558137738e-05,7.630987444991764e-06,,,,
17,2021-09-18,1.171155963675119e-05,1.9620449165813625e-05,1.745184582484849e-05,3.528229556817933e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,1.83539668796584e-05,3.351224586367607e-05,2.2139148779421165e-05,3.09236914443415e-06,,,,
21,2021-09-22,NaN,NaN,NaN,NaN,,,,
22,2021-09-23,1.0628543350321706e-05,3.015975744347088e-05,2.5580988097164533e-05,4.420115305265069e-06,,,,
23,2021-09-24,3.116803418379277e-05,3.803509389399551e-05,3.546568781989325e-05,2.1948286874857545e-06,,,,
24,2021-09-25,2.88652372546494e-05,6.302478141151369e-05,4.3855166224432716e-05,1.2611510084837743e-05,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,6.320901593426242e-05,6.348636816255748e-05,6.346724042267502e-05,7.027980396690411e-08,,,,
28,2021-09-29,NaN,NaN,NaN,NaN,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
