,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,-1.7986467355513014e-05,7.069126149872318e-05,1.3205212198931371e-05,1.2992945169726697e-05,,,,
1,2021-09-02,-1.2987415175302885e-05,2.114450398948975e-05,3.6094018231055522e-06,8.417179281991084e-06,,,,
2,2021-09-03,-1.5135728972381912e-05,3.2230767828878015e-05,5.770903702270013e-06,9.704112168456126e-06,,,,
3,2021-09-04,-1.4226307030185126e-06,2.8870934329461306e-05,1.0715636533653486e-05,7.964321294009719e-06,,,,
4,2021-09-05,-2.512627133910428e-06,2.4216811652877368e-05,1.3089262417904004e-05,7.505760037963372e-06,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,1.2384329238557257e-05,1.2384329238557257e-05,1.2384329238557257e-05,0.0,,,,
7,2021-09-08,7.720401299593505e-06,1.0342156201659236e-05,7.748365716750875e-06,2.693210707293399e-07,,,,
8,2021-09-09,8.582861482864246e-06,8.582861482864246e-06,8.582861482864246e-06,0.0,,,,
9,2021-09-10,1.7037385987350717e-05,2.2214731870917603e-05,2.0925207059768983e-05,2.2390716232826934e-06,,,,
10,2021-09-11,1.5583314905143197e-07,4.571682438836433e-05,1.4857192782151042e-05,9.40110598035812e-06,,,,
11,2021-09-12,-4.374587661004625e-06,3.0805527785560116e-05,1.4353878362555475e-05,1.0473597093851626e-05,,,,
12,2021-09-13,1.031479541779845e-06,3.6074998206458986e-05,1.4947064650942792e-05,6.697011728709468e-06,,,,
13,2021-09-14,NaN,NaN,NaN,NaN,,,,
14,2021-09-15,-1.2333891390881035e-05,1.7835494872997515e-05,2.1555215104754886e-06,7.561233401448433e-06,,,,
15,2021-09-16,3.819478934019571e-06,4.6208071580622345e-05,1.8531039297339995e-05,1.0981734243201526e-05,,,,
16,2021-09-17,-1.886363679659553e-05,2.7222793505643494e-05,5.849165235943544e-06,9.968631223644577e-06,,,,
17,2021-09-18,-1.405568855261663e-05,4.3778345570899546e-05,1.1396121041159689e-05,1.8275673413560135e-05,,,,
18,2021-09-19,-1.2153947864135262e-05,4.1760606109164655e-05,1.4770491712161621e-05,1.2555615596449185e-05,,,,
19,2021-09-20,1.243733777300804e-06,2.9201662982814014e-05,1.8281717012878453e-05,5.710583644723974e-06,,,,
20,2021-09-21,-8.02762406237889e-06,2.2918196918908507e-05,7.81700956328981e-06,6.0572859137069265e-06,,,,
21,2021-09-22,-2.6291413632861804e-06,2.447980659781024e-05,1.2259853466837143e-05,7.180650571953878e-06,,,,
22,2021-09-23,-1.150694879470393e-05,6.382395804394037e-05,1.002305988660857e-05,1.2307636764024458e-05,,,,
23,2021-09-24,-3.0900087040208746e-06,2.2655294742435217e-05,7.716772941237367e-06,7.148885540069124e-06,,,,
24,2021-09-25,5.094728749099886e-06,1.782312938303221e-05,1.040220043483976e-05,4.059937688424288e-06,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,-1.3307797416928224e-05,4.779558366863057e-05,1.4907843847545613e-05,1.3916778500532689e-05,,,,
27,2021-09-28,-3.086554443143541e-06,2.5962002837331966e-05,7.783641826400075e-06,6.738629230767741e-06,,,,
28,2021-09-29,-1.7165117469630786e-06,2.975290954054799e-05,1.1163546408325703e-05,5.5422157712088756e-06,,,,
29,2021-09-30,-3.2926247968134703e-06,3.0633254937129095e-05,1.0633973434468162e-05,6.666582859593942e-06,,,,
