,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,6.600639608222991e-06,3.7420155422296375e-05,2.1327985114238617e-05,8.474675491687823e-06,,,,
1,2021-09-02,NaN,NaN,NaN,NaN,,,,
2,2021-09-03,3.765157316593104e-06,3.765157316593104e-06,3.765157316593104e-06,0.0,,,,
3,2021-09-04,-3.607025973906275e-06,1.5966394130373374e-05,1.3495451446641111e-06,7.794512003937657e-06,,,,
4,2021-09-05,1.173687087430153e-05,2.474735811119899e-05,1.9195401516205777e-05,5.741503302857564e-06,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,-1.2451288057491183e-05,2.1827010641572997e-05,1.385431545273313e-05,8.478346256547844e-06,,,,
11,2021-09-12,-1.694283855613321e-05,2.5819159418460913e-05,1.3070402668287326e-05,6.5708896902624165e-06,,,,
12,2021-09-13,5.776674697699491e-06,2.3655265977140516e-05,2.0818960862914448e-05,3.698116597109139e-06,,,,
13,2021-09-14,6.667540674243355e-06,1.6990436051855795e-05,1.0422734165501816e-05,3.416884170310906e-06,,,,
14,2021-09-15,5.403349859989248e-06,1.4827581253484823e-05,1.0267253594514318e-05,3.1224903565891037e-06,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,7.74189857111196e-07,2.9478407668648288e-05,1.2753241950903455e-05,6.546209096899637e-06,,,,
17,2021-09-18,2.7430755835666787e-06,1.8835298760677688e-05,1.5477392602465536e-05,4.862323990406806e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,8.201528544304892e-06,1.8605236618896015e-05,1.2066579238124893e-05,3.8359383570457085e-06,,,,
21,2021-09-22,1.8406079107080586e-05,3.302205732325092e-05,2.52140940507959e-05,5.569836661086757e-06,,,,
22,2021-09-23,4.773105956701329e-06,2.2628255464951508e-05,1.684613543701786e-05,2.9942323357184522e-06,,,,
23,2021-09-24,4.928640464640921e-06,8.98437610885594e-06,6.499943196919188e-06,1.9758026780749823e-06,,,,
24,2021-09-25,NaN,NaN,NaN,NaN,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,1.2302125469432212e-05,3.190142524545081e-05,2.0459210224873295e-05,6.43115633748503e-06,,,,
27,2021-09-28,1.2690888070210349e-05,2.739172850851901e-05,2.128903223499577e-05,3.4826970217721428e-06,,,,
28,2021-09-29,6.65225616103271e-06,9.863911145657767e-06,7.449752584449734e-06,1.2309847979782104e-06,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
