,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,NaN,NaN,NaN,NaN,,,,
2,2021-09-03,NaN,NaN,NaN,NaN,,,,
3,2021-09-04,1.8026248653768562e-05,4.421845369506627e-05,3.3381778051491105e-05,6.897133832422434e-06,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,1.4850038496661e-05,1.4850038496661e-05,1.4850038496661e-05,0.0,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,1.018167949951021e-06,3.6908011679770425e-05,2.1808144802759307e-05,8.173313785479955e-06,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,9.904127182380762e-06,4.586469003697857e-05,1.5756011121915078e-05,5.4881147768567995e-06,,,,
14,2021-09-15,NaN,NaN,NaN,NaN,,,,
15,2021-09-16,-5.3024305088911206e-06,1.7804319213610142e-05,3.4062312067645633e-06,1.1197681804903078e-05,,,,
16,2021-09-17,NaN,NaN,NaN,NaN,,,,
17,2021-09-18,-6.60022351439693e-06,3.7917699955869466e-05,4.458064333784533e-06,9.925533989899711e-06,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,2.9305062980711227e-06,2.4226914320024662e-05,1.361055446459726e-05,7.039428401252837e-06,,,,
21,2021-09-22,6.5101421569124795e-06,3.609065606724471e-05,2.1405038706695915e-05,1.1038005280983797e-05,,,,
22,2021-09-23,5.157934083399596e-06,2.0368044715723954e-05,1.5050475312587413e-05,3.650544625536841e-06,,,,
23,2021-09-24,1.2034085557388607e-05,3.898666182067245e-05,3.2153457118036e-05,6.908372197223518e-06,,,,
24,2021-09-25,1.7998001567320898e-05,3.0057613912504166e-05,2.236370647678537e-05,3.7328142572105356e-06,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,1.7200203728862107e-05,7.291924703167751e-05,5.655883521449176e-05,1.7679308527694764e-05,,,,
28,2021-09-29,NaN,NaN,NaN,NaN,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
