,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,NaN,NaN,NaN,NaN,,,,
1,2021-09-02,NaN,NaN,NaN,NaN,,,,
2,2021-09-03,6.129728717496619e-05,9.068685176316649e-05,7.087173013415113e-05,9.748276764429526e-06,,,,
3,2021-09-04,2.2163971152622253e-05,0.0001127524592448026,8.561389464731056e-05,1.439143728700444e-05,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,9.231347212335095e-05,0.00015375965449493378,0.00010944392296633769,2.755264888393876e-05,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,3.544735227478668e-05,0.00011631899542408064,5.7075611547223274e-05,2.4743898157981047e-05,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,0.00014883153198752552,0.0001699480344541371,0.00015666409264332735,1.020035685558641e-05,,,,
14,2021-09-15,7.103450479917228e-05,7.103450479917228e-05,7.103450479917228e-05,0.0,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,8.461433026241139e-05,8.461433026241139e-05,8.461433026241139e-05,0.0,,,,
17,2021-09-18,NaN,NaN,NaN,NaN,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,5.44440008525271e-05,5.44440008525271e-05,5.44440008525271e-05,0.0,,,,
21,2021-09-22,3.08749258692842e-05,3.820340498350561e-05,3.1557442914781406e-05,2.129784589021187e-06,,,,
22,2021-09-23,NaN,NaN,NaN,NaN,,,,
23,2021-09-24,NaN,NaN,NaN,NaN,,,,
24,2021-09-25,9.24355408642441e-05,9.24355408642441e-05,9.24355408642441e-05,0.0,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,6.593437865376472e-05,0.00011509215255500749,8.452798774415505e-05,2.383900443951574e-05,,,,
28,2021-09-29,NaN,NaN,NaN,NaN,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
