,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,2.2231839466257952e-05,2.5572473532520235e-05,2.3690527211726822e-05,1.6568560697210664e-06,,,,
1,2021-09-02,1.5806213923497126e-05,2.0545790903270245e-05,1.880680285589019e-05,1.9540399599202205e-06,,,,
2,2021-09-03,NaN,NaN,NaN,NaN,,,,
3,2021-09-04,1.0617492080200464e-05,1.4976852980908006e-05,1.18518279756817e-05,1.9640087928080325e-06,,,,
4,2021-09-05,1.5683710444136523e-05,4.4799067836720496e-05,2.8118196812336838e-05,1.4396620739296492e-05,,,,
5,2021-09-06,NaN,NaN,NaN,NaN,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,9.06195509742247e-06,2.2052992790122516e-05,1.637603917976948e-05,6.125940999925808e-06,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,1.871010454124189e-06,1.0390921488578897e-05,1.9455648530644846e-06,7.934976293582735e-07,,,,
13,2021-09-14,4.6513941924786195e-06,2.2034992070985027e-05,1.5795795270470002e-05,5.594916925749287e-06,,,,
14,2021-09-15,NaN,NaN,NaN,NaN,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,-2.3541388145531528e-06,-2.3541388145531528e-06,-2.3541388145531528e-06,0.0,,,,
17,2021-09-18,NaN,NaN,NaN,NaN,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,NaN,NaN,NaN,NaN,,,,
20,2021-09-21,NaN,NaN,NaN,NaN,,,,
21,2021-09-22,NaN,NaN,NaN,NaN,,,,
22,2021-09-23,NaN,NaN,NaN,NaN,,,,
23,2021-09-24,NaN,NaN,NaN,NaN,,,,
24,2021-09-25,3.5702798868442187e-06,2.0994741134927608e-05,1.7064167073703076e-05,6.937964370755041e-06,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,1.2851221981691197e-05,1.2851221981691197e-05,1.2851221981691197e-05,0.0,,,,
27,2021-09-28,1.9202048861188814e-05,1.9202048861188814e-05,1.9202048861188814e-05,0.0,,,,
28,2021-09-29,2.914446849899832e-05,3.808791370829567e-05,3.0083648233378362e-05,2.7417957477974346e-06,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
