,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-09-01,3.6799821828026325e-05,4.857469320995733e-05,3.957706194068054e-05,4.619115071865842e-06,,,,
1,2021-09-02,1.295970560022397e-05,3.329263563500717e-05,3.1822604961068336e-05,4.175007164275263e-06,,,,
2,2021-09-03,4.106286360183731e-05,8.699562022229657e-05,8.571367479154573e-05,7.565705742623194e-06,,,,
3,2021-09-04,2.9663147870451212e-05,7.060488860588521e-05,4.093444260356013e-05,1.3218462780633287e-05,,,,
4,2021-09-05,NaN,NaN,NaN,NaN,,,,
5,2021-09-06,2.9073984478600323e-05,4.7790985263418406e-05,3.335068409266197e-05,3.1762255860412853e-06,,,,
6,2021-09-07,NaN,NaN,NaN,NaN,,,,
7,2021-09-08,NaN,NaN,NaN,NaN,,,,
8,2021-09-09,NaN,NaN,NaN,NaN,,,,
9,2021-09-10,NaN,NaN,NaN,NaN,,,,
10,2021-09-11,NaN,NaN,NaN,NaN,,,,
11,2021-09-12,NaN,NaN,NaN,NaN,,,,
12,2021-09-13,NaN,NaN,NaN,NaN,,,,
13,2021-09-14,1.8498472854844294e-05,4.13931229559239e-05,3.324283531237039e-05,7.745090693371959e-06,,,,
14,2021-09-15,-4.384955900604837e-06,2.613251854199916e-05,1.2019124779826586e-05,1.0324807998211653e-05,,,,
15,2021-09-16,NaN,NaN,NaN,NaN,,,,
16,2021-09-17,7.410675607388839e-06,1.711844015517272e-05,1.3270953526173338e-05,4.488078567933956e-06,,,,
17,2021-09-18,-1.1100297342636622e-05,1.695517494226806e-05,6.819774026130726e-06,1.2310783575035143e-05,,,,
18,2021-09-19,NaN,NaN,NaN,NaN,,,,
19,2021-09-20,5.4076437663752586e-05,5.4076437663752586e-05,5.4076437663752586e-05,0.0,,,,
20,2021-09-21,8.388686183025129e-06,2.60072665696498e-05,1.7715268877799263e-05,3.925379874404971e-06,,,,
21,2021-09-22,NaN,NaN,NaN,NaN,,,,
22,2021-09-23,1.0552641469985247e-05,2.4602475605206564e-05,2.1562004987880342e-05,3.1595153799335082e-06,,,,
23,2021-09-24,2.0230134396115318e-05,3.510167880449444e-05,2.423016961256016e-05,5.539388701172486e-06,,,,
24,2021-09-25,2.1489784558070824e-05,3.381615169928409e-05,2.4871622080080237e-05,3.661247920492009e-06,,,,
25,2021-09-26,NaN,NaN,NaN,NaN,,,,
26,2021-09-27,NaN,NaN,NaN,NaN,,,,
27,2021-09-28,2.4391518309130333e-05,6.320901593426242e-05,4.356556699183478e-05,7.70412955715169e-06,,,,
28,2021-09-29,NaN,NaN,NaN,NaN,,,,
29,2021-09-30,NaN,NaN,NaN,NaN,,,,
