osmid,y,x,street_count,highway,ref,geometry
12093631,15.1663211,120.5592262,4,,,POINT (120.5592262 15.1663211)
12093652,15.16721,120.5449533,4,,,POINT (120.5449533 15.16721)
12093659,15.1776981,120.5308389,4,,,POINT (120.5308389 15.1776981)
12093660,15.1782419,120.5302821,4,,,POINT (120.5302821 15.1782419)
12093666,15.1847644,120.5269544,4,traffic_signals,,POINT (120.5269544 15.1847644)
12093670,15.19241,120.5231966,4,traffic_signals,,POINT (120.5231966 15.19241)
12105646,15.2067909,120.5487456,3,,,POINT (120.5487456 15.2067909)
12105662,15.199749,120.5413224,3,traffic_signals,,POINT (120.5413224 15.199749)
12105664,15.1954109,120.539642,3,,,POINT (120.539642 15.1954109)
12105668,15.1935567,120.5388634,4,traffic_signals,,POINT (120.5388634 15.1935567)
12105672,15.1946288,120.5375253,3,,,POINT (120.5375253 15.1946288)
12105731,15.1956593,120.5246334,3,,,POINT (120.5246334 15.1956593)
12105752,15.1924071,120.5230939,4,crossing,,POINT (120.5230939 15.1924071)
12105774,15.200383,120.5323782,4,traffic_signals,,POINT (120.5323782 15.200383)
12105777,15.2001576,120.5325034,4,traffic_signals,,POINT (120.5325034 15.2001576)
12105805,15.2052474,120.5308617,2,,,POINT (120.5308617 15.2052474)
12105819,15.2078214,120.5306869,1,,,POINT (120.5306869 15.2078214)
12105893,15.1913928,120.502738,3,,,POINT (120.502738 15.1913928)
12105896,15.1910771,120.5028699,3,,,POINT (120.5028699 15.1910771)
12105900,15.1909669,120.5033814,3,,,POINT (120.5033814 15.1909669)
12105913,15.1885584,120.5018964,4,,,POINT (120.5018964 15.1885584)
12105924,15.1854363,120.503043,4,,,POINT (120.503043 15.1854363)
12105941,15.1867328,120.5064517,3,,,POINT (120.5064517 15.1867328)
12105960,15.1897088,120.5127714,3,,,POINT (120.5127714 15.1897088)
12105962,15.1912288,120.5147078,3,,,POINT (120.5147078 15.1912288)
12105965,15.1923721,120.5137116,3,,,POINT (120.5137116 15.1923721)
12105966,15.1933017,120.5152357,4,,,POINT (120.5152357 15.1933017)
12105967,15.195002,120.5098044,3,,,POINT (120.5098044 15.195002)
12105969,15.1964299,120.5089501,3,,,POINT (120.5089501 15.1964299)
12105971,15.195024,120.5089942,3,,,POINT (120.5089942 15.195024)
12105982,15.194762,120.5112415,3,,,POINT (120.5112415 15.194762)
12105990,15.1939144,120.5126229,4,,,POINT (120.5126229 15.1939144)
12105993,15.1948716,120.5131758,3,,,POINT (120.5131758 15.1948716)
12106004,15.1920846,120.5166842,3,,,POINT (120.5166842 15.1920846)
12106013,15.1924052,120.5208372,3,,,POINT (120.5208372 15.1924052)
12106016,15.1769845,120.5301892,3,,,POINT (120.5301892 15.1769845)
12106057,15.1951314,120.5365923,4,,,POINT (120.5365923 15.1951314)
12106086,15.1953996,120.5355553,3,,,POINT (120.5355553 15.1953996)
12106114,15.1946516,120.5327827,3,,,POINT (120.5327827 15.1946516)
12106129,15.1926822,120.527835,3,,,POINT (120.527835 15.1926822)
12106191,15.1829932,120.5209127,3,,,POINT (120.5209127 15.1829932)
12106192,15.1822747,120.519063,4,,,POINT (120.519063 15.1822747)
12106204,15.1799567,120.5182198,3,,,POINT (120.5182198 15.1799567)
12106209,15.1783827,120.518938,3,,,POINT (120.518938 15.1783827)
12106211,15.1778616,120.5175731,4,,,POINT (120.5175731 15.1778616)
12106235,15.1832633,120.5395543,3,,,POINT (120.5395543 15.1832633)
12106237,15.1813126,120.544731,4,,,POINT (120.544731 15.1813126)
12106239,15.1867863,120.5469331,3,,,POINT (120.5469331 15.1867863)
12154739,15.167281,120.5871601,3,,,POINT (120.5871601 15.167281)
12154752,15.167484,120.5897599,3,,,POINT (120.5897599 15.167484)
