osmid,y,x,street_count,highway,geometry
333548039,10.6313167,122.9741497,3,,POINT (122.9741497 10.6313167)
378059344,10.6755512,122.9528437,3,,POINT (122.9528437 10.6755512)
378059422,10.6698072,122.9504675,4,,POINT (122.9504675 10.6698072)
378059695,10.6576848,122.9451998,4,,POINT (122.9451998 10.6576848)
378060154,10.6520597,122.9433806,4,,POINT (122.9433806 10.6520597)
378060579,10.6509571,122.9413864,3,,POINT (122.9413864 10.6509571)
391179820,10.6764131,122.9531975,4,,POINT (122.9531975 10.6764131)
391179827,10.6643671,122.9482759,4,,POINT (122.9482759 10.6643671)
391179907,10.6825342,122.9556895,4,,POINT (122.9556895 10.6825342)
654870153,10.6860328,122.9571219,4,,POINT (122.9571219 10.6860328)
654889994,10.6329054,122.9606871,3,,POINT (122.9606871 10.6329054)
655158696,10.6722851,122.9488599,4,,POINT (122.9488599 10.6722851)
655158697,10.6727212,122.9478625,4,,POINT (122.9478625 10.6727212)
655158699,10.6750603,122.9416573,1,,POINT (122.9416573 10.6750603)
655158700,10.6684531,122.9469095,3,,POINT (122.9469095 10.6684531)
655158711,10.6649924,122.9470909,4,,POINT (122.9470909 10.6649924)
655158769,10.659482,122.9413676,3,,POINT (122.9413676 10.659482)
655158841,10.6687858,122.9461538,3,,POINT (122.9461538 10.6687858)
655158850,10.6635591,122.9434186,4,,POINT (122.9434186 10.6635591)
655158854,10.6623896,122.9459989,3,,POINT (122.9459989 10.6623896)
673998978,10.6101269,122.9504776,3,,POINT (122.9504776 10.6101269)
673998980,10.6153935,122.927272,3,,POINT (122.927272 10.6153935)
673998999,10.6928259,122.987226,3,crossing,POINT (122.987226 10.6928259)
674005789,10.6835924,122.9570057,3,,POINT (122.9570057 10.6835924)
674005794,10.6607394,122.9765483,3,,POINT (122.9765483 10.6607394)
674005796,10.6642515,123.0088641,3,,POINT (123.0088641 10.6642515)
674005799,10.6661109,122.9655159,3,,POINT (122.9655159 10.6661109)
674005800,10.6653129,122.965149,4,,POINT (122.965149 10.6653129)
674005921,10.6875854,122.9577574,3,,POINT (122.9577574 10.6875854)
674005922,10.6784901,122.9649295,3,,POINT (122.9649295 10.6784901)
674005929,10.6868182,122.9595637,4,,POINT (122.9595637 10.6868182)
674005930,10.6806959,122.9627073,4,,POINT (122.9627073 10.6806959)
674006037,10.708743,122.962179,3,,POINT (122.962179 10.708743)
674007259,10.66534,122.9426347,3,,POINT (122.9426347 10.66534)
674007262,10.6864057,122.9518842,4,,POINT (122.9518842 10.6864057)
674015465,10.6668288,122.935321,3,,POINT (122.935321 10.6668288)
674015466,10.6684744,122.9353071,1,,POINT (122.9353071 10.6684744)
674015472,10.6770564,122.947343,3,,POINT (122.947343 10.6770564)
674015473,10.6787664,122.9430421,3,,POINT (122.9430421 10.6787664)
674015475,10.6817317,122.9466708,4,,POINT (122.9466708 10.6817317)
674015476,10.6794672,122.948336,3,,POINT (122.948336 10.6794672)
674400536,10.6806474,122.9488405,3,,POINT (122.9488405 10.6806474)
674400538,10.6802559,122.9497428,3,,POINT (122.9497428 10.6802559)
674400557,10.6780852,122.9489869,3,,POINT (122.9489869 10.6780852)
674400579,10.6648369,122.9494923,4,,POINT (122.9494923 10.6648369)
674400597,10.6619362,122.9384501,3,,POINT (122.9384501 10.6619362)
674400602,10.6625777,122.9362869,1,,POINT (122.9362869 10.6625777)
674400604,10.6615476,122.9382616,4,,POINT (122.9382616 10.6615476)
674400613,10.6612319,122.9380902,3,,POINT (122.9380902 10.6612319)
674400622,10.6609126,122.9379237,4,,POINT (122.9379237 10.6609126)
674400630,10.6664781,122.9558548,1,,POINT (122.9558548 10.6664781)
674400634,10.6688537,122.9568871,3,,POINT (122.9568871 10.6688537)
674400661,10.6644453,122.9397638,3,,POINT (122.9397638 10.6644453)
674400702,10.6610173,122.9395966,1,,POINT (122.9395966 10.6610173)
674400730,10.6634704,122.9367182,3,,POINT (122.9367182 10.6634704)
674400755,10.6644777,122.9380132,3,,POINT (122.9380132 10.6644777)
674400768,10.6631136,122.9373551,3,,POINT (122.9373551 10.6631136)
674400793,10.6634847,122.937551,3,,POINT (122.937551 10.6634847)
674400802,10.6629388,122.9389768,3,,POINT (122.9389768 10.6629388)
674400849,10.6614734,122.951179,4,,POINT (122.951179 10.6614734)
674400866,10.66071,122.9508629,3,,POINT (122.9508629 10.66071)
674400891,10.6612904,122.9515669,4,,POINT (122.9515669 10.6612904)
674400899,10.6608272,122.9513442,3,,POINT (122.9513442 10.6608272)
674401015,10.6586803,122.9430786,3,,POINT (122.9430786 10.6586803)
674401041,10.6651007,122.9401707,4,,POINT (122.9401707 10.6651007)
674401088,10.6639696,122.9543183,3,,POINT (122.9543183 10.6639696)
674401094,10.6610916,122.9529141,3,,POINT (122.9529141 10.6610916)
674401108,10.6611658,122.9534257,3,,POINT (122.9534257 10.6611658)
674401110,10.6617827,122.9536743,3,,POINT (122.9536743 10.6617827)
674401117,10.6612139,122.9537636,3,,POINT (122.9537636 10.6612139)
674401131,10.6600639,122.9537814,3,,POINT (122.9537814 10.6600639)
674401154,10.660475,122.9480515,3,,POINT (122.9480515 10.660475)
674401159,10.6600151,122.9490339,3,,POINT (122.9490339 10.6600151)
674401174,10.6598966,122.9489796,3,,POINT (122.9489796 10.6598966)
674401216,10.6594801,122.9515431,3,,POINT (122.9515431 10.6594801)
674401234,10.6622214,122.9496398,4,,POINT (122.9496398 10.6622214)
674401251,10.6615396,122.947835,3,,POINT (122.947835 10.6615396)
674401273,10.6612738,122.948428,3,,POINT (122.948428 10.6612738)
674401291,10.6587762,122.9497235,4,,POINT (122.9497235 10.6587762)
674401301,10.6609925,122.9523783,4,,POINT (122.9523783 10.6609925)
674401306,10.6606127,122.9521742,3,,POINT (122.9521742 10.6606127)
674401348,10.6705201,122.9552295,4,,POINT (122.9552295 10.6705201)
674401353,10.6701752,122.956043,3,,POINT (122.956043 10.6701752)
674401365,10.6689942,122.9526246,3,,POINT (122.9526246 10.6689942)
674401368,10.6704545,122.9532489,3,,POINT (122.9532489 10.6704545)
674401382,10.6632286,122.9506313,4,,POINT (122.9506313 10.6632286)
674401385,10.6620242,122.9500544,4,,POINT (122.9500544 10.6620242)
674401398,10.6628162,122.9514104,3,,POINT (122.9514104 10.6628162)
674401400,10.6605018,122.9502137,3,,POINT (122.9502137 10.6605018)
674401427,10.6618376,122.950434,4,,POINT (122.950434 10.6618376)
674401428,10.6606511,122.9498446,3,,POINT (122.9498446 10.6606511)
674401450,10.6745698,122.9524371,3,,POINT (122.9524371 10.6745698)
674401468,10.6750807,122.9526483,3,,POINT (122.9526483 10.6750807)
674401504,10.6719054,122.9555391,3,,POINT (122.9555391 10.6719054)
674401509,10.6714257,122.9567079,3,,POINT (122.9567079 10.6714257)
674401524,10.6683672,122.9543107,3,,POINT (122.9543107 10.6683672)
674401552,10.6706155,122.956245,3,,POINT (122.956245 10.6706155)
674401582,10.6725724,122.9583855,3,,POINT (122.9583855 10.6725724)
674401588,10.673705,122.9520794,4,,POINT (122.9520794 10.673705)
674401598,10.6731057,122.9533592,1,,POINT (122.9533592 10.6731057)
674401613,10.6723647,122.9537296,3,,POINT (122.9537296 10.6723647)
674401616,10.6731114,122.9518361,3,,POINT (122.9518361 10.6731114)
674401628,10.6692727,122.9588699,3,,POINT (122.9588699 10.6692727)
674401659,10.6712275,122.9565468,4,,POINT (122.9565468 10.6712275)
674401664,10.6702267,122.9592799,4,,POINT (122.9592799 10.6702267)
674401692,10.6813563,122.9587046,3,,POINT (122.9587046 10.6813563)
674401759,10.6796976,122.9580905,4,,POINT (122.9580905 10.6796976)
674401766,10.6727782,122.9575147,4,,POINT (122.9575147 10.6727782)
674401771,10.6723386,122.9602486,4,,POINT (122.9602486 10.6723386)
674401777,10.6710149,122.9570182,3,,POINT (122.9570182 10.6710149)
674401780,10.6726626,122.9578831,3,,POINT (122.9578831 10.6726626)
674401798,10.677013,122.9534453,3,,POINT (122.9534453 10.677013)
674401800,10.6765175,122.9547126,1,,POINT (122.9547126 10.6765175)
674401810,10.6744344,122.9557236,3,,POINT (122.9557236 10.6744344)
674401827,10.6760362,122.9530446,3,,POINT (122.9530446 10.6760362)
674401831,10.6752368,122.9550377,3,,POINT (122.9550377 10.6752368)
