osmid,y,x,street_count,highway,geometry
280324085,10.3037329,123.9127155,4,,POINT (123.9127155 10.3037329)
280324090,10.3071882,123.9098099,4,,POINT (123.9098099 10.3071882)
280324156,10.3185543,123.8999489,4,traffic_signals,POINT (123.8999489 10.3185543)
280332246,10.3112473,123.8981981,4,traffic_signals,POINT (123.8981981 10.3112473)
280332314,10.3107104,123.9039488,4,traffic_signals,POINT (123.9039488 10.3107104)
280332338,10.3153929,123.9077346,4,,POINT (123.9077346 10.3153929)
280332358,10.3143001,123.9147306,4,traffic_signals,POINT (123.9147306 10.3143001)
280332366,10.3148383,123.915771,3,,POINT (123.915771 10.3148383)
280332507,10.3183689,123.9078348,4,traffic_signals,POINT (123.9078348 10.3183689)
280332521,10.3176699,123.9072912,3,,POINT (123.9072912 10.3176699)
280332555,10.3161529,123.9057064,4,traffic_signals,POINT (123.9057064 10.3161529)
280332570,10.3129467,123.900553,3,,POINT (123.900553 10.3129467)
280332571,10.3115466,123.8998517,4,traffic_signals,POINT (123.8998517 10.3115466)
280332573,10.3100224,123.8937702,3,,POINT (123.8937702 10.3100224)
280332577,10.3286197,123.8973959,3,,POINT (123.8973959 10.3286197)
280332583,10.330486,123.8978429,3,,POINT (123.8978429 10.330486)
280332598,10.3152925,123.9016399,4,traffic_signals,POINT (123.9016399 10.3152925)
281418180,10.3161504,123.8908555,4,,POINT (123.8908555 10.3161504)
281418189,10.3103751,123.8927202,3,,POINT (123.8927202 10.3103751)
281418213,10.2972715,123.8959912,4,traffic_signals,POINT (123.8959912 10.2972715)
281418215,10.2989075,123.895522,3,traffic_signals,POINT (123.895522 10.2989075)
281418272,10.2804425,123.8561994,4,,POINT (123.8561994 10.2804425)
281437797,10.3093155,123.8935406,3,,POINT (123.8935406 10.3093155)
281440726,10.3194842,123.9018872,4,,POINT (123.9018872 10.3194842)
281440730,10.3185099,123.9023924,4,,POINT (123.9023924 10.3185099)
281440732,10.3175432,123.9004652,3,,POINT (123.9004652 10.3175432)
281440735,10.3187344,123.9030711,3,,POINT (123.9030711 10.3187344)
281440736,10.3189608,123.9031929,3,,POINT (123.9031929 10.3189608)
281446231,10.3099178,123.8943181,3,traffic_signals,POINT (123.8943181 10.3099178)
281446236,10.3048972,123.8981269,3,,POINT (123.8981269 10.3048972)
281446238,10.3019331,123.8982459,3,crossing,POINT (123.8982459 10.3019331)
281446240,10.29888,123.8999491,4,traffic_signals,POINT (123.8999491 10.29888)
281446244,10.2963188,123.8926074,4,traffic_signals,POINT (123.8926074 10.2963188)
281446251,10.2936475,123.8978247,3,,POINT (123.8978247 10.2936475)
281446253,10.2932156,123.8979272,3,,POINT (123.8979272 10.2932156)
281446254,10.2933731,123.8987772,4,,POINT (123.8987772 10.2933731)
281446255,10.2929626,123.9003072,3,,POINT (123.9003072 10.2929626)
281446257,10.2921348,123.9001034,4,,POINT (123.9001034 10.2921348)
281446259,10.2926403,123.9022344,4,traffic_signals,POINT (123.9022344 10.2926403)
281446260,10.2923438,123.9030192,4,,POINT (123.9030192 10.2923438)
281446261,10.293883,123.9037636,4,traffic_signals,POINT (123.9037636 10.293883)
281446262,10.2935588,123.9045446,4,traffic_signals,POINT (123.9045446 10.2935588)
281446264,10.2945867,123.9050468,3,,POINT (123.9050468 10.2945867)
281446266,10.2933251,123.9069663,3,,POINT (123.9069663 10.2933251)
282920166,10.3179118,123.9026895,3,,POINT (123.9026895 10.3179118)
282920167,10.3197894,123.9024615,4,,POINT (123.9024615 10.3197894)
282920168,10.3187955,123.9029509,3,,POINT (123.9029509 10.3187955)
282921471,10.2954451,123.8965372,6,traffic_signals,POINT (123.8965372 10.2954451)
282924701,10.3095235,123.893717,3,,POINT (123.893717 10.3095235)
304727897,10.2980222,123.9095281,4,,POINT (123.9095281 10.2980222)
316824559,10.325356,123.8980826,4,,POINT (123.8980826 10.325356)
316824560,10.3199029,123.8993075,4,,POINT (123.8993075 10.3199029)
316824561,10.3206918,123.9107942,4,traffic_signals,POINT (123.9107942 10.3206918)
316824566,10.3124145,123.9162312,4,traffic_signals,POINT (123.9162312 10.3124145)
316826724,10.3087834,123.9191317,4,traffic_signals,POINT (123.9191317 10.3087834)
316826735,10.2999685,123.9115858,4,,POINT (123.9115858 10.2999685)
316826736,10.3020254,123.9139848,4,,POINT (123.9139848 10.3020254)
316828276,10.3089528,123.9191414,4,traffic_signals,POINT (123.9191414 10.3089528)
316829027,10.3073188,123.9204924,4,,POINT (123.9204924 10.3073188)
316985224,10.3016717,123.9102356,4,traffic_signals,POINT (123.9102356 10.3016717)
316997323,10.320438,123.9036904,3,,POINT (123.9036904 10.320438)
317000951,10.3019205,123.906554,4,traffic_signals,POINT (123.906554 10.3019205)
317000954,10.3059318,123.9061174,3,,POINT (123.9061174 10.3059318)
317003680,10.3165617,123.8920086,4,,POINT (123.8920086 10.3165617)
317003682,10.3182649,123.8913841,2,,POINT (123.8913841 10.3182649)
317003686,10.3188464,123.891792,3,,POINT (123.891792 10.3188464)
317764268,10.3015714,123.9103143,4,traffic_signals,POINT (123.9103143 10.3015714)
317773457,10.3052052,123.8998956,3,,POINT (123.8998956 10.3052052)
317773490,10.294306,123.8990305,5,traffic_signals,POINT (123.8990305 10.294306)
317773492,10.2937803,123.8980849,3,traffic_signals,POINT (123.8980849 10.2937803)
317773494,10.2948944,123.8977982,4,traffic_signals,POINT (123.8977982 10.2948944)
