osmid,y,x,street_count,highway,ref,geometry
27391263,14.3516003,120.9538914,3,,,POINT (120.9538914 14.3516003)
27391290,14.3522893,120.9461193,3,,,POINT (120.9461193 14.3522893)
27391291,14.3522863,120.9458957,3,,,POINT (120.9458957 14.3522863)
27391330,14.2936111,120.9375059,4,crossing,,POINT (120.9375059 14.2936111)
27582810,14.3159869,120.9444832,3,,,POINT (120.9444832 14.3159869)
27582818,14.302086,120.954216,4,crossing,,POINT (120.954216 14.302086)
28997036,14.3374754,120.9858829,3,,,POINT (120.9858829 14.3374754)
28997082,14.3295097,120.9878836,3,,,POINT (120.9878836 14.3295097)
28997095,14.3262296,120.9866594,3,,,POINT (120.9866594 14.3262296)
28997102,14.2875398,120.9883738,3,,,POINT (120.9883738 14.2875398)
28997811,14.2856044,120.9931912,3,,,POINT (120.9931912 14.2856044)
267423148,14.2928562,120.9722734,4,,,POINT (120.9722734 14.2928562)
278610839,14.334655,120.9542449,3,,,POINT (120.9542449 14.334655)
278610920,14.3444029,120.9652525,3,,,POINT (120.9652525 14.3444029)
289688350,14.3503896,120.9632443,4,,,POINT (120.9632443 14.3503896)
312123998,14.2906229,120.9774182,4,,,POINT (120.9774182 14.2906229)
312124027,14.2868696,120.9778685,4,,,POINT (120.9778685 14.2868696)
312124060,14.2822899,120.9790407,3,,,POINT (120.9790407 14.2822899)
312124151,14.2810279,120.9801372,3,,,POINT (120.9801372 14.2810279)
312124198,14.2765157,120.980298,4,,,POINT (120.980298 14.2765157)
312124298,14.2674771,120.98329,3,,,POINT (120.98329 14.2674771)
312124304,14.2669882,120.9813482,3,,,POINT (120.9813482 14.2669882)
312124306,14.2666286,120.9814094,3,,,POINT (120.9814094 14.2666286)
312124313,14.2649498,120.981568,3,,,POINT (120.981568 14.2649498)
312124316,14.2628409,120.9810571,3,,,POINT (120.9810571 14.2628409)
318292307,14.3055747,120.96878,3,,,POINT (120.96878 14.3055747)
318292312,14.3058697,120.9685817,3,,,POINT (120.9685817 14.3058697)
318292320,14.3041115,120.9691912,1,turning_circle,,POINT (120.9691912 14.3041115)
318292338,14.3038892,120.9660477,3,,,POINT (120.9660477 14.3038892)
318292342,14.3050591,120.9660769,4,,,POINT (120.9660769 14.3050591)
318292363,14.3056821,120.9680088,3,,,POINT (120.9680088 14.3056821)
318292377,14.3051026,120.9706626,4,,,POINT (120.9706626 14.3051026)
318292396,14.3053734,120.9694054,3,,,POINT (120.9694054 14.3053734)
318292399,14.3059717,120.9699487,3,,,POINT (120.9699487 14.3059717)
318292418,14.3041522,120.9696072,3,,,POINT (120.9696072 14.3041522)
318292445,14.3017349,120.9647293,3,,,POINT (120.9647293 14.3017349)
318292449,14.3010615,120.9651094,3,,,POINT (120.9651094 14.3010615)
318292457,14.3005147,120.9643115,3,,,POINT (120.9643115 14.3005147)
318292462,14.3010407,120.964593,3,,,POINT (120.964593 14.3010407)
318292491,14.3018425,120.9631589,3,,,POINT (120.9631589 14.3018425)
318292527,14.3029154,120.9647218,4,,,POINT (120.9647218 14.3029154)
318292532,14.3047606,120.9662869,3,,,POINT (120.9662869 14.3047606)
318292534,14.3042759,120.9649382,3,,,POINT (120.9649382 14.3042759)
318292542,14.30687,120.9666153,3,,,POINT (120.9666153 14.30687)
318292543,14.3059691,120.9675222,3,,,POINT (120.9675222 14.3059691)
318292546,14.3060793,120.9678378,3,,,POINT (120.9678378 14.3060793)
318292550,14.3043797,120.9674793,3,,,POINT (120.9674793 14.3043797)
318292551,14.3044311,120.9671014,3,,,POINT (120.9671014 14.3044311)
318292554,14.3049548,120.9670568,3,,,POINT (120.9670568 14.3049548)
318292560,14.3047529,120.9688326,3,,,POINT (120.9688326 14.3047529)
318292565,14.3051307,120.9686572,3,,,POINT (120.9686572 14.3051307)
318292569,14.3051782,120.9678279,3,,,POINT (120.9678279 14.3051782)
318292573,14.3050824,120.9677979,3,,,POINT (120.9677979 14.3050824)
319883479,14.3004096,120.9658239,4,,,POINT (120.9658239 14.3004096)
320094254,14.3005693,120.9654424,4,,,POINT (120.9654424 14.3005693)
320094299,14.3009251,120.9655313,3,,,POINT (120.9655313 14.3009251)
320094316,14.3006959,120.9650862,3,,,POINT (120.9650862 14.3006959)
320094393,14.3009205,120.9642004,4,,,POINT (120.9642004 14.3009205)
320094570,14.3032172,120.9668068,4,,,POINT (120.9668068 14.3032172)
320094622,14.3040449,120.9664084,3,,,POINT (120.9664084 14.3040449)
320094629,14.3039757,120.9651446,4,,,POINT (120.9651446 14.3039757)
320094697,14.3037576,120.9642159,3,,,POINT (120.9642159 14.3037576)
320094716,14.3036264,120.9663275,3,,,POINT (120.9663275 14.3036264)
320094718,14.3033405,120.9665621,3,,,POINT (120.9665621 14.3033405)
320094733,14.302577,120.9648788,3,,,POINT (120.9648788 14.302577)
320094840,14.3022682,120.9641792,3,,,POINT (120.9641792 14.3022682)
320094868,14.3016114,120.9644454,3,,,POINT (120.9644454 14.3016114)
320094891,14.3037818,120.9697024,4,,,POINT (120.9697024 14.3037818)
320094892,14.3048926,120.9692907,3,,,POINT (120.9692907 14.3048926)
320094893,14.3048181,120.9708664,4,,,POINT (120.9708664 14.3048181)
320094906,14.3054448,120.967319,3,,,POINT (120.967319 14.3054448)
320094917,14.3050184,120.9711318,1,,,POINT (120.9711318 14.3050184)
320094921,14.3052173,120.9708491,1,,,POINT (120.9708491 14.3052173)
320094925,14.3044789,120.9694711,4,,,POINT (120.9694711 14.3044789)
320094948,14.306069,120.9703157,3,,,POINT (120.9703157 14.306069)
320094965,14.3057179,120.9691509,3,,,POINT (120.9691509 14.3057179)
320094969,14.3056249,120.9700506,3,,,POINT (120.9700506 14.3056249)
320094975,14.3036916,120.9671249,3,,,POINT (120.9671249 14.3036916)
320094989,14.3054501,120.9683944,1,,,POINT (120.9683944 14.3054501)
320095001,14.3043977,120.969122,3,,,POINT (120.969122 14.3043977)
320095002,14.3043358,120.9681398,3,,,POINT (120.9681398 14.3043358)
320095005,14.3042183,120.9674499,1,turning_circle,,POINT (120.9674499 14.3042183)
323062982,14.3167225,120.9438277,4,traffic_signals,,POINT (120.9438277 14.3167225)
323062984,14.3194728,120.9408422,3,,,POINT (120.9408422 14.3194728)
323062991,14.327186,120.9353977,4,,,POINT (120.9353977 14.327186)
323063054,14.268341,120.941558,3,,,POINT (120.941558 14.268341)
323063057,14.270825,120.9398984,3,,,POINT (120.9398984 14.270825)
323063064,14.2921015,120.9330554,4,,,POINT (120.9330554 14.2921015)
323063068,14.2937172,120.9385095,3,,,POINT (120.9385095 14.2937172)
323063082,14.2702196,120.9492189,3,,,POINT (120.9492189 14.2702196)
323063090,14.2641179,120.9445443,3,,,POINT (120.9445443 14.2641179)
323673526,14.2850839,120.9870896,3,,,POINT (120.9870896 14.2850839)
323673836,14.2793217,120.9880966,3,,,POINT (120.9880966 14.2793217)
323674081,14.2771937,120.9882581,3,,,POINT (120.9882581 14.2771937)
323674455,14.2674537,120.9884601,3,,,POINT (120.9884601 14.2674537)
323676002,14.2997405,120.9573369,3,,,POINT (120.9573369 14.2997405)
323676507,14.3300112,120.9359886,3,,,POINT (120.9359886 14.3300112)
323676772,14.3318321,120.938779,4,crossing,,POINT (120.938779 14.3318321)
324315230,14.2986874,120.9545878,3,,,POINT (120.9545878 14.2986874)
324315231,14.2979919,120.9548305,3,,,POINT (120.9548305 14.2979919)
324315591,14.2679162,120.9469049,3,,,POINT (120.9469049 14.2679162)
324315628,14.2659195,120.9424425,3,,,POINT (120.9424425 14.2659195)
325097037,14.3177776,120.9463523,4,,,POINT (120.9463523 14.3177776)
325097043,14.318096,120.9462467,3,,,POINT (120.9462467 14.318096)
325097120,14.3182849,120.9461741,4,,,POINT (120.9461741 14.3182849)
325097210,14.3179432,120.9476466,3,,,POINT (120.9476466 14.3179432)
325097218,14.3178237,120.9482715,3,,,POINT (120.9482715 14.3178237)
325097277,14.3197093,120.9476651,3,,,POINT (120.9476651 14.3197093)
325097432,14.3182919,120.9495914,3,,,POINT (120.9495914 14.3182919)
325097508,14.3181737,120.9492624,3,,,POINT (120.9492624 14.3181737)
325097577,14.3187758,120.9499112,3,,,POINT (120.9499112 14.3187758)
325097605,14.3203257,120.9488046,1,,,POINT (120.9488046 14.3203257)
325097611,14.3201366,120.9491345,3,,,POINT (120.9491345 14.3201366)
325097851,14.3190131,120.947725,3,,,POINT (120.947725 14.3190131)
325097919,14.3209703,120.9503534,1,,,POINT (120.9503534 14.3209703)
325097924,14.3209877,120.9503068,3,,,POINT (120.9503068 14.3209877)
325097952,14.3205999,120.9490771,3,,,POINT (120.9490771 14.3205999)
325097977,14.3202268,120.9492834,3,,,POINT (120.9492834 14.3202268)
325097999,14.3188038,120.9477717,3,,,POINT (120.9477717 14.3188038)
325098012,14.31894,120.9453922,3,,,POINT (120.9453922 14.31894)
325098084,14.2890044,120.9553225,4,,,POINT (120.9553225 14.2890044)
325098088,14.2891082,120.9557947,3,,,POINT (120.9557947 14.2891082)
325098114,14.2877889,120.9563336,4,,,POINT (120.9563336 14.2877889)
325098123,14.2892081,120.9562493,3,,,POINT (120.9562493 14.2892081)
325098138,14.2893027,120.9566793,4,,,POINT (120.9566793 14.2893027)
325098157,14.2878396,120.9567959,4,,,POINT (120.9567959 14.2878396)
325098172,14.289509,120.9576177,3,,,POINT (120.9576177 14.289509)
325098180,14.2879909,120.9581741,4,,,POINT (120.9581741 14.2879909)
325098181,14.2896159,120.9580384,3,,,POINT (120.9580384 14.2896159)
325098191,14.2900639,120.9579708,3,,,POINT (120.9579708 14.2900639)
325098194,14.2887759,120.9542835,3,,,POINT (120.9542835 14.2887759)
325098206,14.2894517,120.9552223,3,,,POINT (120.9552223 14.2894517)
325098291,14.2863731,120.9565132,3,,,POINT (120.9565132 14.2863731)
325098536,14.2864178,120.9578983,3,,,POINT (120.9578983 14.2864178)
325098553,14.2864306,120.9583746,3,,,POINT (120.9583746 14.2864306)
325098618,14.2880296,120.9586482,4,,,POINT (120.9586482 14.2880296)
325098800,14.2861048,120.958882,3,,,POINT (120.958882 14.2861048)
325098853,14.2914747,120.9570431,3,,,POINT (120.9570431 14.2914747)
325098863,14.2920618,120.9569085,3,,,POINT (120.9569085 14.2920618)
325098964,14.2923269,120.9567911,3,,,POINT (120.9567911 14.2923269)
325098995,14.2937856,120.9572808,3,,,POINT (120.9572808 14.2937856)
325098996,14.2936972,120.9570292,3,,,POINT (120.9570292 14.2936972)
325099091,14.2919646,120.9558152,3,,,POINT (120.9558152 14.2919646)
325099100,14.292093,120.9564077,3,,,POINT (120.9564077 14.292093)
325099165,14.2920129,120.9560351,3,,,POINT (120.9560351 14.2920129)
325099173,14.290233,120.9577253,1,,,POINT (120.9577253 14.290233)
325099190,14.2921237,120.9565672,3,,,POINT (120.9565672 14.2921237)
325099193,14.2920769,120.9563328,3,,,POINT (120.9563328 14.2920769)
325099203,14.2919475,120.9557329,3,,,POINT (120.9557329 14.2919475)
325099213,14.2918695,120.9553969,3,,,POINT (120.9553969 14.2918695)
325099278,14.293717,120.9555545,3,,,POINT (120.9555545 14.293717)
325099284,14.2942375,120.9559487,3,,,POINT (120.9559487 14.2942375)
325099439,14.2913594,120.9545242,3,,,POINT (120.9545242 14.2913594)
325099480,14.2904644,120.9539347,3,,,POINT (120.9539347 14.2904644)
325099484,14.2901692,120.9539172,3,,,POINT (120.9539172 14.2901692)
325099509,14.2918944,120.9729886,4,,,POINT (120.9729886 14.2918944)
325099519,14.2929867,120.9746461,3,,,POINT (120.9746461 14.2929867)
325099636,14.2989209,120.9706032,3,,,POINT (120.9706032 14.2989209)
325099642,14.2989871,120.9701715,3,,,POINT (120.9701715 14.2989871)
325099651,14.2969626,120.9708096,4,,,POINT (120.9708096 14.2969626)
325099719,14.2936276,120.9763882,4,,,POINT (120.9763882 14.2936276)
325099726,14.2924547,120.9757785,3,,,POINT (120.9757785 14.2924547)
325099816,14.2963048,120.9759677,4,,,POINT (120.9759677 14.2963048)
325099874,14.2948296,120.9770187,4,,,POINT (120.9770187 14.2948296)
325100171,14.2968018,120.9733616,4,,,POINT (120.9733616 14.2968018)
325100395,14.2995747,120.9698067,1,,,POINT (120.9698067 14.2995747)
325100567,14.2935166,120.9730487,3,,,POINT (120.9730487 14.2935166)
325100783,14.2973981,120.9727001,3,,,POINT (120.9727001 14.2973981)
325101121,14.2935908,120.9609324,3,,,POINT (120.9609324 14.2935908)
325101134,14.2921236,120.961425,4,,,POINT (120.961425 14.2921236)
325101248,14.2902824,120.9603475,1,,,POINT (120.9603475 14.2902824)
325101339,14.312955,120.9530973,3,,,POINT (120.9530973 14.312955)
325101526,14.3204198,120.9400782,3,stop,,POINT (120.9400782 14.3204198)
325101593,14.3230273,120.944528,3,,,POINT (120.944528 14.3230273)
325101641,14.3231484,120.9488645,4,,,POINT (120.9488645 14.3231484)
325101644,14.32156,120.9493482,3,,,POINT (120.9493482 14.32156)
325101645,14.3212698,120.9485097,4,,,POINT (120.9485097 14.3212698)
325101835,14.3240076,120.9471573,3,,,POINT (120.9471573 14.3240076)
325101950,14.3235957,120.9472658,3,,,POINT (120.9472658 14.3235957)
325102343,14.3259258,120.9493148,3,,,POINT (120.9493148 14.3259258)
325103056,14.32451,120.9494913,3,,,POINT (120.9494913 14.32451)
325103114,14.3003159,120.966132,3,,,POINT (120.966132 14.3003159)
325103144,14.299732,120.9657831,3,,,POINT (120.9657831 14.299732)
325103161,14.2994886,120.9655436,1,turning_circle,,POINT (120.9655436 14.2994886)
325103301,14.2998682,120.9671869,3,,,POINT (120.9671869 14.2998682)
325103352,14.2998475,120.9677368,1,turning_circle,,POINT (120.9677368 14.2998475)
325103373,14.3000262,120.9675201,3,,,POINT (120.9675201 14.3000262)
325103486,14.3009143,120.9670135,3,,,POINT (120.9670135 14.3009143)
325104428,14.3238924,120.9629807,4,,,POINT (120.9629807 14.3238924)
325104619,14.346189,120.9461686,3,,,POINT (120.9461686 14.346189)
325105389,14.3032107,120.9697679,3,,,POINT (120.9697679 14.3032107)
325106573,14.3035545,120.9710798,3,,,POINT (120.9710798 14.3035545)
325106687,14.3030086,120.9694827,3,,,POINT (120.9694827 14.3030086)
