osmid,y,x,street_count,highway,geometry
110955436,7.1112077,125.6432372,3,,POINT (125.6432372 7.1112077)
110955440,7.1111292,125.6436543,3,,POINT (125.6436543 7.1111292)
110955592,7.1098117,125.6392582,3,,POINT (125.6392582 7.1098117)
110955595,7.1086504,125.6410669,3,,POINT (125.6410669 7.1086504)
110955824,7.1089189,125.6413506,3,,POINT (125.6413506 7.1089189)
110955980,7.1091478,125.6415924,3,,POINT (125.6415924 7.1091478)
110956034,7.1096085,125.642079,3,,POINT (125.642079 7.1096085)
110956219,7.1093688,125.6418259,3,,POINT (125.6418259 7.1093688)
110956384,7.1098373,125.6423207,3,,POINT (125.6423207 7.1098373)
110956574,7.1100515,125.642547,3,,POINT (125.642547 7.1100515)
110956679,7.1102924,125.6428015,3,,POINT (125.6428015 7.1102924)
110956789,7.110513,125.6430374,3,,POINT (125.6430374 7.110513)
110956926,7.1114098,125.6430716,1,,POINT (125.6430716 7.1114098)
113143427,7.1122737,125.6435819,4,,POINT (125.6435819 7.1122737)
113146065,7.1150577,125.643484,3,,POINT (125.643484 7.1150577)
113146067,7.1120472,125.646905,3,,POINT (125.646905 7.1120472)
225845840,7.1100872,125.6395411,3,,POINT (125.6395411 7.1100872)
225845870,7.1103853,125.6398214,3,,POINT (125.6398214 7.1103853)
225845901,7.1106075,125.6400494,3,,POINT (125.6400494 7.1106075)
225845937,7.1110081,125.6404263,3,,POINT (125.6404263 7.1110081)
225845968,7.1112623,125.6406637,3,,POINT (125.6406637 7.1112623)
225845993,7.1114925,125.6408863,3,,POINT (125.6408863 7.1114925)
225846038,7.1117214,125.6411237,3,,POINT (125.6411237 7.1117214)
225846056,7.1119783,125.6413744,3,,POINT (125.6413744 7.1119783)
225846081,7.1102323,125.6409252,3,,POINT (125.6409252 7.1102323)
225846118,7.1100074,125.6406811,3,,POINT (125.6406811 7.1100074)
225846141,7.1104532,125.6411089,3,,POINT (125.6411089 7.1104532)
244455523,7.094743,125.6145297,3,,POINT (125.6145297 7.094743)
259606750,7.0689173,125.6034827,4,traffic_signals,POINT (125.6034827 7.0689173)
259606751,7.0700303,125.604844,4,traffic_signals,POINT (125.604844 7.0700303)
259606752,7.0708245,125.6058057,4,traffic_signals,POINT (125.6058057 7.0708245)
259606753,7.0718942,125.6071112,4,traffic_signals,POINT (125.6071112 7.0718942)
259606755,7.0736113,125.6090163,4,,POINT (125.6090163 7.0736113)
259606758,7.0749754,125.6097775,4,,POINT (125.6097775 7.0749754)
259606760,7.0754032,125.6109557,3,,POINT (125.6109557 7.0754032)
259606808,7.0772869,125.6249793,4,,POINT (125.6249793 7.0772869)
