osmid,y,x,street_count,highway,geometry
355236256,10.7257216,122.5489395,3,,POINT (122.5489395 10.7257216)
355236301,10.7249231,122.549551,3,,POINT (122.549551 10.7249231)
355236309,10.7188249,122.5523724,3,,POINT (122.5523724 10.7188249)
355236468,10.7099408,122.5515522,3,,POINT (122.5515522 10.7099408)
355236473,10.710203,122.5515507,3,,POINT (122.5515507 10.710203)
534670803,10.6893249,122.5292395,3,,POINT (122.5292395 10.6893249)
534670814,10.6887731,122.5266387,3,,POINT (122.5266387 10.6887731)
534670829,10.6889544,122.521356,3,,POINT (122.521356 10.6889544)
534670834,10.6889322,122.5163327,3,,POINT (122.5163327 10.6889322)
534691740,10.6966893,122.5560299,3,,POINT (122.5560299 10.6966893)
534691807,10.694283,122.572618,3,,POINT (122.572618 10.694283)
534691840,10.6937444,122.5732704,3,,POINT (122.5732704 10.6937444)
534691841,10.6934469,122.573625,4,,POINT (122.573625 10.6934469)
534691843,10.6924509,122.5745195,3,,POINT (122.5745195 10.6924509)
534691846,10.6917985,122.5738117,4,,POINT (122.5738117 10.6917985)
534725645,10.7018009,122.5753212,4,,POINT (122.5753212 10.7018009)
534725647,10.7017778,122.5769392,3,,POINT (122.5769392 10.7017778)
534725661,10.6985681,122.5820806,4,,POINT (122.5820806 10.6985681)
534725670,10.7023429,122.586545,3,,POINT (122.586545 10.7023429)
534725673,10.7060483,122.5887526,3,,POINT (122.5887526 10.7060483)
534725690,10.7138906,122.581394,4,,POINT (122.581394 10.7138906)
534725696,10.7138727,122.5770432,3,,POINT (122.5770432 10.7138727)
534725709,10.7216968,122.5790915,3,,POINT (122.5790915 10.7216968)
534725713,10.7290185,122.579567,3,,POINT (122.579567 10.7290185)
534725733,10.7501697,122.589152,3,,POINT (122.589152 10.7501697)
534725968,10.6960095,122.5444285,3,,POINT (122.5444285 10.6960095)
534726870,10.7740154,122.5847935,3,,POINT (122.5847935 10.7740154)
534726874,10.772083,122.5841828,3,,POINT (122.5841828 10.772083)
534726901,10.7302078,122.5591058,4,,POINT (122.5591058 10.7302078)
534726902,10.7298604,122.5587633,3,,POINT (122.5587633 10.7298604)
534726911,10.7274537,122.5556043,3,,POINT (122.5556043 10.7274537)
