osmid,y,x,street_count,highway,geometry
16984749,16.4091821,120.5951122,3,,POINT (120.5951122 16.4091821)
16984752,16.4125417,120.5939244,3,,POINT (120.5939244 16.4125417)
16984796,16.4111913,120.5971635,3,,POINT (120.5971635 16.4111913)
16984798,16.408366,120.5942792,4,,POINT (120.5942792 16.408366)
16988406,16.4129788,120.5914358,3,,POINT (120.5914358 16.4129788)
16988437,16.4098865,120.5966657,3,,POINT (120.5966657 16.4098865)
17302585,16.3868676,120.6151293,3,,POINT (120.6151293 16.3868676)
17307433,16.4026122,120.5958339,3,,POINT (120.5958339 16.4026122)
17310692,16.416049,120.6153805,3,,POINT (120.6153805 16.416049)
17310719,16.4161494,120.6149542,3,,POINT (120.6149542 16.4161494)
17310746,16.4164519,120.6151511,3,,POINT (120.6151511 16.4164519)
17310764,16.4165232,120.6153234,3,,POINT (120.6153234 16.4165232)
17311512,16.4118925,120.611795,3,,POINT (120.611795 16.4118925)
17311738,16.410023,120.610984,3,,POINT (120.610984 16.410023)
17311937,16.411972,120.6154405,3,,POINT (120.6154405 16.411972)
17315920,16.41077,120.620431,3,,POINT (120.620431 16.41077)
17316162,16.4104629,120.621684,3,,POINT (120.621684 16.4104629)
17316306,16.4122125,120.6099513,3,,POINT (120.6099513 16.4122125)
17316551,16.4137965,120.6084184,3,,POINT (120.6084184 16.4137965)
17322091,16.4038349,120.6056758,3,,POINT (120.6056758 16.4038349)
17322151,16.4040228,120.605124,3,,POINT (120.605124 16.4040228)
17322189,16.4038549,120.6050226,4,,POINT (120.6050226 16.4038549)
17322203,16.403836,120.6052461,3,,POINT (120.6052461 16.403836)
17322299,16.4035158,120.605463,3,,POINT (120.605463 16.4035158)
17322823,16.407142,120.600607,4,,POINT (120.600607 16.407142)
17322830,16.4074548,120.6005816,4,crossing,POINT (120.6005816 16.4074548)
17323076,16.4061869,120.6011889,4,crossing,POINT (120.6011889 16.4061869)
17323103,16.4050481,120.6021749,3,,POINT (120.6021749 16.4050481)
17323393,16.4014062,120.5936575,3,,POINT (120.5936575 16.4014062)
17323445,16.4094388,120.5971621,3,,POINT (120.5971621 16.4094388)
17349421,16.4082028,120.5945201,3,,POINT (120.5945201 16.4082028)
17349763,16.4100951,120.5913322,3,,POINT (120.5913322 16.4100951)
17349785,16.413013,120.5907604,3,,POINT (120.5907604 16.413013)
17349801,16.4082412,120.5918042,3,,POINT (120.5918042 16.4082412)
17349858,16.4040999,120.592981,3,,POINT (120.592981 16.4040999)
17687132,16.3994324,120.5870439,3,,POINT (120.5870439 16.3994324)
17687145,16.3999127,120.5847196,3,,POINT (120.5847196 16.3999127)
17687152,16.3987003,120.5834431,3,,POINT (120.5834431 16.3987003)
17687316,16.3890872,120.5758573,3,,POINT (120.5758573 16.3890872)
17687327,16.3930176,120.579289,3,,POINT (120.579289 16.3930176)
17687329,16.3940527,120.5797376,3,,POINT (120.5797376 16.3940527)
17693063,16.4020383,120.5961909,3,,POINT (120.5961909 16.4020383)
17693309,16.383965,120.602816,3,,POINT (120.602816 16.383965)
17693419,16.392144,120.6000265,3,,POINT (120.6000265 16.392144)
27375257,16.3793428,120.6171925,3,,POINT (120.6171925 16.3793428)
27375270,16.3816372,120.6184159,3,,POINT (120.6184159 16.3816372)
27375279,16.3838691,120.6166662,3,,POINT (120.6166662 16.3838691)
27375280,16.3766961,120.6129446,3,,POINT (120.6129446 16.3766961)
27375286,16.3786621,120.6081891,3,,POINT (120.6081891 16.3786621)
27375443,16.3960822,120.6084573,3,,POINT (120.6084573 16.3960822)
27905073,16.4136812,120.5955685,3,,POINT (120.5955685 16.4136812)
27906538,16.4283575,120.594159,3,,POINT (120.594159 16.4283575)
27906894,16.425792,120.5937137,3,,POINT (120.5937137 16.425792)
27907675,16.4158871,120.5959433,3,,POINT (120.5959433 16.4158871)
27907952,16.4137491,120.5955804,3,,POINT (120.5955804 16.4137491)
27908430,16.4149038,120.595674,3,,POINT (120.595674 16.4149038)
27908572,16.4105991,120.5996302,4,crossing,POINT (120.5996302 16.4105991)
27909450,16.4135054,120.5948404,4,traffic_signals,POINT (120.5948404 16.4135054)
27909818,16.4086998,120.6015319,3,,POINT (120.6015319 16.4086998)
27913411,16.4052482,120.5992605,3,,POINT (120.5992605 16.4052482)
27913675,16.4051894,120.5991976,4,,POINT (120.5991976 16.4051894)
27913847,16.4055254,120.599451,3,,POINT (120.599451 16.4055254)
27914800,16.4047066,120.5976985,3,,POINT (120.5976985 16.4047066)
30419115,16.4008839,120.5909883,3,,POINT (120.5909883 16.4008839)
30419116,16.401734,120.5902545,3,,POINT (120.5902545 16.401734)
30419117,16.4023395,120.590922,3,,POINT (120.590922 16.4023395)
30419118,16.4036739,120.5904939,3,,POINT (120.5904939 16.4036739)
30419124,16.4057267,120.5911343,3,,POINT (120.5911343 16.4057267)
30419125,16.4044703,120.590351,3,,POINT (120.590351 16.4044703)
30419127,16.4059461,120.5910588,3,,POINT (120.5910588 16.4059461)
30419133,16.4070422,120.5898871,4,,POINT (120.5898871 16.4070422)
30419134,16.4079659,120.5893224,3,,POINT (120.5893224 16.4079659)
241486409,16.4139685,120.5954401,3,,POINT (120.5954401 16.4139685)
256684228,16.3890735,120.5755345,3,,POINT (120.5755345 16.3890735)
262088266,16.416955,120.6249158,3,,POINT (120.6249158 16.416955)
262088527,16.4174109,120.6251074,3,,POINT (120.6251074 16.4174109)
262088670,16.4146208,120.6252909,3,,POINT (120.6252909 16.4146208)
262088789,16.4165195,120.6277022,3,,POINT (120.6277022 16.4165195)
262089047,16.4136714,120.6247088,4,,POINT (120.6247088 16.4136714)
262089284,16.4137466,120.6201448,4,,POINT (120.6201448 16.4137466)
262089285,16.4151858,120.6188735,3,,POINT (120.6188735 16.4151858)
262089524,16.4152704,120.6167078,3,,POINT (120.6167078 16.4152704)
262089537,16.4161591,120.6155426,3,,POINT (120.6155426 16.4161591)
262090041,16.4197564,120.6268463,3,,POINT (120.6268463 16.4197564)
262090108,16.4207297,120.6256141,3,,POINT (120.6256141 16.4207297)
262090661,16.4174349,120.6204991,3,,POINT (120.6204991 16.4174349)
262090804,16.416643,120.619394,3,,POINT (120.619394 16.416643)
262126278,16.405794,120.5970761,3,,POINT (120.5970761 16.405794)
262126285,16.4070786,120.5980195,3,,POINT (120.5980195 16.4070786)
262126303,16.407359,120.5981282,3,,POINT (120.5981282 16.407359)
262126324,16.410903,120.5974359,4,,POINT (120.5974359 16.410903)
262126346,16.4138338,120.5924579,4,,POINT (120.5924579 16.4138338)
262131779,16.409927,120.6007842,4,crossing,POINT (120.6007842 16.409927)
262131845,16.4091716,120.6021945,3,,POINT (120.6021945 16.4091716)
262131846,16.4091633,120.6022453,3,,POINT (120.6022453 16.4091633)
262131849,16.409026,120.6028026,3,,POINT (120.6028026 16.409026)
262131854,16.4094364,120.6031125,3,,POINT (120.6031125 16.4094364)
262131860,16.4103406,120.6034109,4,,POINT (120.6034109 16.4103406)
262131883,16.4113241,120.6046372,3,,POINT (120.6046372 16.4113241)
262131976,16.414184,120.6080416,3,,POINT (120.6080416 16.414184)
262131988,16.4146028,120.6119294,3,,POINT (120.6119294 16.4146028)
262131989,16.4147308,120.6120857,3,,POINT (120.6120857 16.4147308)
310333190,16.3864083,120.5715012,3,,POINT (120.5715012 16.3864083)
310333195,16.3799692,120.5724252,3,,POINT (120.5724252 16.3799692)
311043695,16.390337,120.5776461,3,,POINT (120.5776461 16.390337)
311043816,16.3933174,120.5740694,3,,POINT (120.5740694 16.3933174)
311043818,16.3926191,120.5734066,3,,POINT (120.5734066 16.3926191)
311044305,16.4014417,120.5669797,3,,POINT (120.5669797 16.4014417)
