osmid,y,x,street_count,highway,geometry
282290875,8.5027221,124.7526473,3,,POINT (124.7526473 8.5027221)
282305245,8.4840596,124.6449159,3,,POINT (124.6449159 8.4840596)
282305248,8.4834819,124.6444929,4,,POINT (124.6444929 8.483481899999999)
282305251,8.4779634,124.6424258,4,,POINT (124.6424258 8.4779634)
282305255,8.4807062,124.6450472,3,,POINT (124.6450472 8.4807062)
282305256,8.4794747,124.6446607,4,,POINT (124.6446607 8.479474700000001)
282305259,8.4821242,124.6439257,4,,POINT (124.6439257 8.482124199999999)
282305263,8.4803726,124.6439629,4,,POINT (124.6439629 8.480372600000001)
282305264,8.4797452,124.6438427,4,,POINT (124.6438427 8.4797452)
282305269,8.4810156,124.6440811,4,,POINT (124.6440811 8.481015599999999)
282305272,8.4771781,124.6434265,4,,POINT (124.6434265 8.4771781)
282305273,8.4769526,124.6441023,4,traffic_signals,POINT (124.6441023 8.476952600000001)
282305274,8.4766396,124.6450037,4,,POINT (124.6450037 8.4766396)
282305275,8.4763816,124.6458616,3,,POINT (124.6458616 8.4763816)
282305952,8.4759761,124.6448763,4,,POINT (124.6448763 8.4759761)
282309075,8.4755628,124.6506649,4,,POINT (124.6506649 8.475562800000001)
282309079,8.4756027,124.6527596,4,,POINT (124.6527596 8.4756027)
282309085,8.4777443,124.6529631,3,,POINT (124.6529631 8.477744299999999)
282309087,8.4776322,124.6535991,4,,POINT (124.6535991 8.4776322)
282309090,8.4782366,124.6556951,3,,POINT (124.6556951 8.478236600000001)
282309097,8.4796519,124.656089,4,,POINT (124.656089 8.4796519)
282309112,8.4786728,124.6537436,4,traffic_signals,POINT (124.6537436 8.4786728)
282309116,8.4789673,124.6505596,3,,POINT (124.6505596 8.478967300000001)
282309145,8.4790771,124.6445451,4,traffic_signals,POINT (124.6445451 8.4790771)
332514069,8.4546117,124.6239155,3,,POINT (124.6239155 8.454611699999999)
333572474,8.4827726,124.6514986,4,traffic_signals,POINT (124.6514986 8.482772600000001)
333572897,8.483148,124.649333,4,traffic_signals,POINT (124.649333 8.483148)
333799455,8.5039356,124.6085658,3,,POINT (124.6085658 8.5039356)
333799640,8.4795158,124.6416465,3,,POINT (124.6416465 8.4795158)
333803108,8.5042221,124.6117079,3,,POINT (124.6117079 8.5042221)
334409014,8.4827354,124.630371,3,,POINT (124.630371 8.482735399999999)
334409034,8.4758244,124.6259813,3,,POINT (124.6259813 8.4758244)
334409042,8.4749297,124.6237028,3,,POINT (124.6237028 8.474929700000001)
334409056,8.4749536,124.6210313,3,,POINT (124.6210313 8.474953599999999)
334409062,8.4733088,124.6200509,3,,POINT (124.6200509 8.4733088)
334409064,8.4729546,124.6197465,3,,POINT (124.6197465 8.4729546)
334409073,8.4721794,124.6169881,4,,POINT (124.6169881 8.4721794)
334409102,8.4587697,124.6185422,4,,POINT (124.6185422 8.4587697)
334409103,8.4585006,124.6200927,3,,POINT (124.6200927 8.458500600000001)
334409105,8.4497074,124.6226833,3,,POINT (124.6226833 8.449707399999999)
334409107,8.4850815,124.6385393,4,traffic_signals,POINT (124.6385393 8.4850815)
334409110,8.4788186,124.6524257,4,,POINT (124.6524257 8.4788186)
354204025,8.5003273,124.6282889,4,,POINT (124.6282889 8.5003273)
354204032,8.4993659,124.6271027,3,,POINT (124.6271027 8.499365900000001)
354204034,8.4988396,124.6264785,1,,POINT (124.6264785 8.4988396)
354205366,8.484178,124.6584704,3,traffic_signals,POINT (124.6584704 8.484178)
354206112,8.4855631,124.6520812,3,,POINT (124.6520812 8.4855631)
354207536,8.4852262,124.6536494,4,traffic_signals,POINT (124.6536494 8.4852262)
357892693,8.4768383,124.6528832,4,,POINT (124.6528832 8.476838300000001)
357892717,8.475071,124.6680664,3,,POINT (124.6680664 8.475071)
357892748,8.474778,124.675413,3,,POINT (124.675413 8.474778000000001)
357892765,8.4714515,124.6805392,3,,POINT (124.6805392 8.471451500000001)
357892787,8.4811499,124.6480275,3,,POINT (124.6480275 8.4811499)
357892831,8.4920387,124.654087,3,traffic_signals,POINT (124.654087 8.4920387)
357892834,8.4918112,124.6543169,3,,POINT (124.6543169 8.491811200000001)
357892842,8.4909049,124.6554394,3,,POINT (124.6554394 8.4909049)
357892845,8.4895667,124.6576406,3,,POINT (124.6576406 8.489566699999999)
357892848,8.489429,124.6580401,3,,POINT (124.6580401 8.489428999999999)
357892857,8.487705,124.6595086,4,,POINT (124.6595086 8.487705)
369669985,8.4612709,124.6387312,3,,POINT (124.6387312 8.461270900000001)
369670080,8.4923404,124.6406779,4,,POINT (124.6406779 8.4923404)
369670109,8.4711116,124.5915811,3,,POINT (124.5915811 8.4711116)
369670189,8.4246439,124.6372148,3,,POINT (124.6372148 8.4246439)
369670289,8.4881173,124.6103602,3,,POINT (124.6103602 8.488117300000001)
369670397,8.4852721,124.6638898,3,,POINT (124.6638898 8.4852721)
369670610,8.4642091,124.6405759,3,,POINT (124.6405759 8.4642091)
369670869,8.491369,124.644291,1,,POINT (124.644291 8.491369000000001)
369671075,8.455299,124.6223017,3,,POINT (124.6223017 8.455299)
369671079,8.4993655,124.6452295,1,,POINT (124.6452295 8.4993655)
369671144,8.4390526,124.6325541,3,,POINT (124.6325541 8.4390526)
369671146,8.4518022,124.6399885,3,,POINT (124.6399885 8.451802199999999)
369671175,8.463097,124.6438088,3,,POINT (124.6438088 8.463096999999999)
369671202,8.4904845,124.6441228,3,,POINT (124.6441228 8.490484500000001)
369671244,8.4253686,124.637728,3,,POINT (124.637728 8.425368600000001)
369671586,8.3914147,124.611138,3,,POINT (124.611138 8.3914147)
369671598,8.4834717,124.661781,3,,POINT (124.661781 8.483471700000001)
369671630,8.4974034,124.6609017,3,,POINT (124.6609017 8.4974034)
369671649,8.4977657,124.6416399,3,,POINT (124.6416399 8.4977657)
369671657,8.3184089,124.6022987,1,,POINT (124.6022987 8.3184089)
369671761,8.490961,124.643625,1,,POINT (124.643625 8.490961)
369671782,8.4660369,124.6442265,4,,POINT (124.6442265 8.466036900000001)
369672044,8.4577517,124.7001216,3,,POINT (124.7001216 8.457751699999999)
369672080,8.4825121,124.6488931,3,,POINT (124.6488931 8.482512099999999)
369672154,8.4289983,124.6393293,3,,POINT (124.6393293 8.4289983)
369672292,8.4447471,124.6446989,3,,POINT (124.6446989 8.444747100000001)
369672384,8.495999,124.6132364,3,,POINT (124.6132364 8.495998999999999)
369672399,8.4371196,124.6356347,1,,POINT (124.6356347 8.437119600000001)
369672517,8.3156176,124.6006411,3,,POINT (124.6006411 8.315617599999999)
369672536,8.4442361,124.6441345,4,,POINT (124.6441345 8.444236099999999)
369672766,8.4583302,124.7009895,1,,POINT (124.7009895 8.458330200000001)
369672848,8.3171897,124.590558,3,,POINT (124.590558 8.3171897)
369672931,8.4838154,124.6635781,3,,POINT (124.6635781 8.483815399999999)
369673001,8.4297871,124.6400905,4,,POINT (124.6400905 8.4297871)
369673170,8.4972312,124.6144949,4,,POINT (124.6144949 8.4972312)
369673763,8.496161,124.6606835,3,,POINT (124.6606835 8.496161000000001)
369673770,8.4711656,124.6430939,3,,POINT (124.6430939 8.471165600000001)
369673791,8.458017,124.7005145,3,,POINT (124.7005145 8.458017)
369673920,8.4706334,124.6432132,3,,POINT (124.6432132 8.470633400000001)
369674029,8.384298,124.6095715,3,,POINT (124.6095715 8.384297999999999)
369674038,8.4647593,124.6448631,4,,POINT (124.6448631 8.464759300000001)
369674050,8.2909099,124.5860285,3,,POINT (124.5860285 8.290909900000001)
369674059,8.4464157,124.6367337,4,,POINT (124.6367337 8.446415699999999)
369674369,8.4837301,124.6496735,3,,POINT (124.6496735 8.483730100000001)
369674431,8.3244188,124.5960727,3,,POINT (124.5960727 8.3244188)
369674451,8.437509,124.635346,3,,POINT (124.635346 8.437509)
369674617,8.4770382,124.6001643,3,,POINT (124.6001643 8.477038200000001)
369674945,8.3140404,124.6013211,1,,POINT (124.6013211 8.3140404)
369675016,8.4212561,124.6311848,3,,POINT (124.6311848 8.421256100000001)
369675488,8.5022485,124.6457237,4,,POINT (124.6457237 8.5022485)
369675865,8.4950908,124.6522421,3,,POINT (124.6522421 8.4950908)
