osmid,y,x,street_count,highway,geometry
241412672,14.0001491,121.155262,1,,POINT (121.155262 14.0001491)
260205532,13.9287126,121.1106351,3,,POINT (121.1106351 13.9287126)
260205533,13.928915,121.1062158,3,,POINT (121.1062158 13.928915)
260702825,13.9026946,121.1263038,3,,POINT (121.1263038 13.9026946)
272308499,13.9945031,121.1680941,3,traffic_signals,POINT (121.1680941 13.9945031)
272308500,14.0009904,121.1668825,3,,POINT (121.1668825 14.0009904)
281157442,13.9458497,121.1404486,3,,POINT (121.1404486 13.9458497)
312116139,13.9381994,121.163583,4,,POINT (121.163583 13.9381994)
312116141,13.9343441,121.1655222,3,,POINT (121.1655222 13.9343441)
312116147,13.8934563,121.2002854,3,,POINT (121.2002854 13.8934563)
313469569,13.9411878,121.1445102,4,,POINT (121.1445102 13.9411878)
316376158,14.0001542,121.1550658,1,,POINT (121.1550658 14.0001542)
316376162,13.9774786,121.1495173,3,motorway_junction,POINT (121.1495173 13.9774786)
316428290,13.9394905,121.1228738,3,,POINT (121.1228738 13.9394905)
318300522,13.9429009,121.1389429,3,motorway_junction,POINT (121.1389429 13.9429009)
318300528,13.9434674,121.1405009,3,,POINT (121.1405009 13.9434674)
318300538,13.9411777,121.1398965,3,traffic_signals,POINT (121.1398965 13.9411777)
318300541,13.9425586,121.1366054,3,traffic_signals,POINT (121.1366054 13.9425586)
318300546,13.9396263,121.1364124,3,,POINT (121.1364124 13.9396263)
318300551,13.9382309,121.1363514,4,,POINT (121.1363514 13.9382309)
318303964,13.9401025,121.1366017,3,,POINT (121.1366017 13.9401025)
318331964,13.9405642,121.1596419,3,,POINT (121.1596419 13.9405642)
318331965,13.9406211,121.1605775,3,,POINT (121.1605775 13.9406211)
318331966,13.9407955,121.1611924,4,,POINT (121.1611924 13.9407955)
318331968,13.9411775,121.1624194,4,,POINT (121.1624194 13.9411775)
318331972,13.9388715,121.162663,4,,POINT (121.162663 13.9388715)
318331973,13.9409771,121.1618199,4,,POINT (121.1618199 13.9409771)
318331974,13.9386588,121.1539939,4,,POINT (121.1539939 13.9386588)
318331975,13.9413383,121.152846,3,,POINT (121.152846 13.9413383)
354723650,13.9602423,121.1656487,4,traffic_signals,POINT (121.1656487 13.9602423)
354723654,13.9732731,121.2007445,3,,POINT (121.2007445 13.9732731)
354723838,13.9546708,121.1596548,3,,POINT (121.1596548 13.9546708)
354723839,13.9551939,121.1599685,3,,POINT (121.1599685 13.9551939)
354723883,13.9581541,121.1637176,3,,POINT (121.1637176 13.9581541)
354723908,13.9568538,121.1644974,3,,POINT (121.1644974 13.9568538)
354723911,13.957447,121.1656465,4,,POINT (121.1656465 13.957447)
354724077,13.9579279,121.1640012,3,,POINT (121.1640012 13.9579279)
355047804,13.9831557,121.2109092,3,,POINT (121.2109092 13.9831557)
355047805,13.9827782,121.2102841,3,,POINT (121.2102841 13.9827782)
355047806,13.9823856,121.2092503,3,,POINT (121.2092503 13.9823856)
355047917,13.9791095,121.2006556,3,,POINT (121.2006556 13.9791095)
355047918,13.9789249,121.2004242,3,,POINT (121.2004242 13.9789249)
355047919,13.9786927,121.2003689,3,,POINT (121.2003689 13.9786927)
