osmid,y,x,highway,street_count,geometry
12067330,14.55965,120.987162,traffic_signals,4,POINT (120.987162 14.55965)
12067342,14.5830399,120.9755414,traffic_signals,4,POINT (120.9755414 14.5830399)
12067373,14.5834926,120.9841556,traffic_signals,4,POINT (120.9841556 14.5834926)
12067375,14.584279,120.9855995,,3,POINT (120.9855995 14.584279)
12067384,14.5895452,120.9810877,,3,POINT (120.9810877 14.5895452)
12067389,14.5944721,120.9804766,,3,POINT (120.9804766 14.5944721)
12067395,14.6045366,120.9853908,,3,POINT (120.9853908 14.6045366)
14423326,14.5963899,120.9774185,,1,POINT (120.9774185 14.5963899)
21322188,14.5703745,120.9915596,traffic_signals,5,POINT (120.9915596 14.5703745)
21322190,14.5842529,121.0026213,,3,POINT (121.0026213 14.5842529)
21458435,14.5988829,121.0146382,,3,POINT (121.0146382 14.5988829)
21458468,14.576111,120.9883507,traffic_signals,4,POINT (120.9883507 14.576111)
21458559,14.6006894,121.0133643,,3,POINT (121.0133643 14.6006894)
21590491,14.5846557,120.9744314,traffic_signals,4,POINT (120.9744314 14.5846557)
21590492,14.5850375,120.9744955,traffic_signals,3,POINT (120.9744955 14.5850375)
21590493,14.5837039,120.9728547,crossing,4,POINT (120.9728547 14.5837039)
21590494,14.5827775,120.9713079,,4,POINT (120.9713079 14.5827775)
21590497,14.5829284,120.9753411,traffic_signals,4,POINT (120.9753411 14.5829284)
21638752,14.5848182,120.9785938,traffic_signals,4,POINT (120.9785938 14.5848182)
21638759,14.5910315,120.9713265,crossing,4,POINT (120.9713265 14.5910315)
21638762,14.5937001,120.974169,,4,POINT (120.974169 14.5937001)
21638763,14.5937034,120.9749577,,4,POINT (120.9749577 14.5937034)
21638765,14.5942974,120.974956,,3,POINT (120.974956 14.5942974)
21638771,14.5946573,120.9779276,milestone,3,POINT (120.9779276 14.5946573)
21638775,14.5903742,120.9805915,,4,POINT (120.9805915 14.5903742)
21638777,14.5879223,120.97651,,4,POINT (120.97651 14.5879223)
21638778,14.5895275,120.9791,,3,POINT (120.9791 14.5895275)
21717801,14.5626614,120.9951972,traffic_signals,4,POINT (120.9951972 14.5626614)
21717828,14.5861454,120.9826563,traffic_signals,5,POINT (120.9826563 14.5861454)
21717829,14.5770886,120.9969325,traffic_signals,3,POINT (120.9969325 14.5770886)
21717831,14.5692166,121.0011637,,3,POINT (121.0011637 14.5692166)
21720759,14.5788581,120.9779703,traffic_signals,5,POINT (120.9779703 14.5788581)
21720760,14.5804812,120.9787458,traffic_signals,4,POINT (120.9787458 14.5804812)
21720761,14.5686302,120.9845431,traffic_signals,4,POINT (120.9845431 14.5686302)
21720762,14.5655143,120.9860036,,3,POINT (120.9860036 14.5655143)
21720763,14.5648854,120.9863215,traffic_signals,4,POINT (120.9863215 14.5648854)
21720764,14.5795525,120.9792276,traffic_signals,4,POINT (120.9792276 14.5795525)
21720771,14.5643482,120.9850625,traffic_signals,4,POINT (120.9850625 14.5643482)
21721221,14.5683729,120.9835399,,4,POINT (120.9835399 14.5683729)
21721222,14.5689367,120.9833039,,4,POINT (120.9833039 14.5689367)
21721223,14.5650317,120.9850151,crossing,4,POINT (120.9850151 14.5650317)
21721224,14.5645997,120.985202,,3,POINT (120.985202 14.5645997)
21721225,14.5650435,120.9862388,,3,POINT (120.9862388 14.5650435)
21721229,14.5800474,120.9801812,traffic_signals,4,POINT (120.9801812 14.5800474)
21721231,14.5735279,120.9821365,traffic_signals,4,POINT (120.9821365 14.5735279)
21721232,14.5730756,120.9810798,traffic_signals,4,POINT (120.9810798 14.5730756)
21721234,14.5723102,120.9827449,,4,POINT (120.9827449 14.5723102)
21721235,14.5726628,120.9836351,,3,POINT (120.9836351 14.5726628)
21721236,14.5738696,120.9830777,traffic_signals,4,POINT (120.9830777 14.5738696)
24857770,14.5600526,120.9888937,,3,POINT (120.9888937 14.5600526)
25004292,14.5629901,120.9959896,,3,POINT (120.9959896 14.5629901)
25004309,14.5640524,120.9982389,,4,POINT (120.9982389 14.5640524)
25004636,14.5643463,120.9943036,traffic_signals,3,POINT (120.9943036 14.5643463)
25004802,14.5655383,120.996953,traffic_signals,4,POINT (120.996953 14.5655383)
25005313,14.5659385,120.9979276,,4,POINT (120.9979276 14.5659385)
25006626,14.562618,120.9951171,traffic_signals,4,POINT (120.9951171 14.562618)
25006803,14.5636929,120.9975687,traffic_signals,3,POINT (120.9975687 14.5636929)
25007013,14.5645089,120.9991187,,4,POINT (120.9991187 14.5645089)
25007285,14.6015121,121.0023871,,3,POINT (121.0023871 14.6015121)
25008106,14.5653879,120.9979785,,4,POINT (120.9979785 14.5653879)
25008295,14.5611805,120.9937996,,3,POINT (120.9937996 14.5611805)
25008877,14.5623437,120.9947365,,3,POINT (120.9947365 14.5623437)
25008963,14.5719331,120.9993117,,4,POINT (120.9993117 14.5719331)
25250039,14.6179646,120.9710155,,3,POINT (120.9710155 14.6179646)
25250048,14.6169206,120.9761114,,3,POINT (120.9761114 14.6169206)
25250072,14.6142261,120.9751975,,3,POINT (120.9751975 14.6142261)
25250076,14.5984212,120.9805757,,3,POINT (120.9805757 14.5984212)
25250110,14.6180386,120.9708291,traffic_signals,4,POINT (120.9708291 14.6180386)
25250117,14.6138879,120.9765555,traffic_signals,4,POINT (120.9765555 14.6138879)
25353025,14.5645555,120.9852964,,1,POINT (120.9852964 14.5645555)
25353083,14.5642677,120.9850984,traffic_signals,4,POINT (120.9850984 14.5642677)
25353118,14.5702343,120.9916342,traffic_signals,4,POINT (120.9916342 14.5702343)
25353227,14.5770463,120.9970918,traffic_signals,4,POINT (120.9970918 14.5770463)
25353312,14.6030173,121.0158908,,3,POINT (121.0158908 14.6030173)
25353323,14.6023953,121.0116703,traffic_signals,3,POINT (121.0116703 14.6023953)
25353393,14.5988366,121.0146716,,3,POINT (121.0146716 14.5988366)
25353413,14.5769288,120.9970012,traffic_signals,4,POINT (120.9970012 14.5769288)
25353426,14.5975151,121.0156179,,3,POINT (121.0156179 14.5975151)
25353435,14.5976601,121.0176006,,4,POINT (121.0176006 14.5976601)
25526904,14.5612807,120.9923114,,3,POINT (120.9923114 14.5612807)
25526921,14.5623358,120.9917397,,3,POINT (120.9917397 14.5623358)
25526924,14.5662703,120.9883613,traffic_signals,4,POINT (120.9883613 14.5662703)
25526928,14.5651253,120.9868208,traffic_signals,4,POINT (120.9868208 14.5651253)
25526929,14.5650377,120.9868708,traffic_signals,4,POINT (120.9868708 14.5650377)
25526931,14.5610039,120.9889934,,3,POINT (120.9889934 14.5610039)
25526940,14.5601889,120.9894374,traffic_signals,4,POINT (120.9894374 14.5601889)
25526942,14.5650737,120.990083,,3,POINT (120.990083 14.5650737)
25526943,14.5663154,120.9882838,traffic_signals,4,POINT (120.9882838 14.5663154)
25526945,14.5610577,120.9928515,,3,POINT (120.9928515 14.5610577)
25526947,14.5609265,120.9923906,traffic_signals,3,POINT (120.9923906 14.5609265)
25526952,14.5741701,120.9838587,,4,POINT (120.9838587 14.5741701)
25629738,14.5672577,120.9891625,,3,POINT (120.9891625 14.5672577)
25629743,14.5831953,121.0019857,,3,POINT (121.0019857 14.5831953)
25629747,14.6097122,120.9928983,traffic_signals,4,POINT (120.9928983 14.6097122)
25783596,14.6285081,120.9835918,,4,POINT (120.9835918 14.6285081)
25783601,14.6140617,120.9887177,traffic_signals,5,POINT (120.9887177 14.6140617)
25783608,14.6118849,120.9863416,traffic_signals,4,POINT (120.9863416 14.6118849)
25783617,14.6226251,120.9890189,,3,POINT (120.9890189 14.6226251)
25783624,14.6226565,120.9873394,,4,POINT (120.9873394 14.6226565)
25783631,14.6171193,120.988828,,3,POINT (120.988828 14.6171193)
25783640,14.6251946,120.9873981,traffic_signals,4,POINT (120.9873981 14.6251946)
25783662,14.6161825,120.9866939,traffic_signals,5,POINT (120.9866939 14.6161825)
25783683,14.6166581,120.9883331,,3,POINT (120.9883331 14.6166581)
25783689,14.6166746,120.9872776,,3,POINT (120.9872776 14.6166746)
26017691,14.5734372,120.9832611,,3,POINT (120.9832611 14.5734372)
26017769,14.5738295,120.9830983,,3,POINT (120.9830983 14.5738295)
26017781,14.5736204,120.9823738,,3,POINT (120.9823738 14.5736204)
26030584,14.5912119,120.970856,,3,POINT (120.970856 14.5912119)
26030596,14.5905245,120.9706342,,3,POINT (120.9706342 14.5905245)
26030598,14.5907567,120.9704591,,3,POINT (120.9704591 14.5907567)
26030600,14.5909005,120.9704537,,3,POINT (120.9704537 14.5909005)
26030603,14.5906846,120.9711787,,3,POINT (120.9711787 14.5906846)
26030605,14.5903285,120.9710372,crossing,4,POINT (120.9710372 14.5903285)
26032596,14.5626785,120.9853914,,1,POINT (120.9853914 14.5626785)
26032618,14.5871058,120.9667941,,3,POINT (120.9667941 14.5871058)
26032625,14.6025565,120.9617098,traffic_signals,4,POINT (120.9617098 14.6025565)
26032634,14.5946071,120.9681324,,3,POINT (120.9681324 14.5946071)
26032650,14.6026493,120.9608948,,3,POINT (120.9608948 14.6026493)
26032665,14.6012402,120.9621521,,3,POINT (120.9621521 14.6012402)
26032680,14.5918031,120.9700972,,4,POINT (120.9700972 14.5918031)
26032686,14.5913794,120.9705964,crossing,4,POINT (120.9705964 14.5913794)
26032689,14.5932876,120.9690911,,4,POINT (120.9690911 14.5932876)
26032711,14.5999418,120.9641892,,3,POINT (120.9641892 14.5999418)
26032715,14.600835,120.9623162,motorway_junction,3,POINT (120.9623162 14.600835)
26032719,14.6009672,120.9624278,,3,POINT (120.9624278 14.6009672)
26032724,14.6026704,120.9616866,traffic_signals,4,POINT (120.9616866 14.6026704)
26032727,14.6024405,120.9609251,,4,POINT (120.9609251 14.6024405)
26032756,14.5852763,120.9793733,traffic_signals,4,POINT (120.9793733 14.5852763)
26032758,14.5859479,120.9801317,traffic_signals,3,POINT (120.9801317 14.5859479)
26032762,14.5794261,120.9773912,,3,POINT (120.9773912 14.5794261)
26032763,14.577832,120.9800585,,4,POINT (120.9800585 14.577832)
26032767,14.576921,120.9804963,traffic_signals,4,POINT (120.9804963 14.576921)
26032770,14.5756645,120.9810873,,4,POINT (120.9810873 14.5756645)
26032773,14.5747399,120.9815176,,4,POINT (120.9815176 14.5747399)
26032774,14.5739305,120.981939,,3,POINT (120.981939 14.5739305)
26032777,14.5730182,120.9809511,traffic_signals,3,POINT (120.9809511 14.5730182)
26032782,14.5712354,120.9832739,,3,POINT (120.9832739 14.5712354)
26032783,14.5688375,120.9830844,,3,POINT (120.9830844 14.5688375)
26032784,14.5693518,120.9841753,traffic_signals,4,POINT (120.9841753 14.5693518)
26032792,14.5626321,120.9858219,,3,POINT (120.9858219 14.5626321)
26082595,14.5899573,121.0010992,,3,POINT (121.0010992 14.5899573)
26082631,14.5824451,120.9847365,traffic_signals,4,POINT (120.9847365 14.5824451)
26082709,14.5928347,121.001531,traffic_signals,4,POINT (121.001531 14.5928347)
26498316,14.5924683,120.9871671,traffic_signals,4,POINT (120.9871671 14.5924683)
26498318,14.5903152,120.9859024,,3,POINT (120.9859024 14.5903152)
26498322,14.5860409,120.9825608,traffic_signals,4,POINT (120.9825608 14.5860409)
26498327,14.592505,120.9915237,,3,POINT (120.9915237 14.592505)
26498330,14.592879,120.9926161,,3,POINT (120.9926161 14.592879)
26498334,14.5965396,120.9912351,,3,POINT (120.9912351 14.5965396)
26498341,14.5943769,120.9935581,,3,POINT (120.9935581 14.5943769)
