osmid,y,x,street_count,highway,geometry
191131752,13.6331465,123.1990346,3,,POINT (123.1990346 13.6331465)
191131774,13.6334885,123.2000138,3,,POINT (123.2000138 13.6334885)
193253039,13.6269104,123.1988928,3,,POINT (123.1988928 13.6269104)
196717438,13.6446353,123.1917703,3,,POINT (123.1917703 13.6446353)
196717549,13.6444126,123.1936557,3,,POINT (123.1936557 13.6444126)
215255879,13.6266235,123.1985676,3,,POINT (123.1985676 13.6266235)
215255894,13.6262571,123.1988883,3,,POINT (123.1988883 13.6262571)
215255910,13.6259625,123.1991482,4,,POINT (123.1991482 13.6259625)
215280361,13.6318705,123.2005082,3,,POINT (123.2005082 13.6318705)
215326708,13.6448608,123.1919376,3,,POINT (123.1919376 13.6448608)
254456756,13.6280501,123.2020321,3,,POINT (123.2020321 13.6280501)
254707059,13.6350183,123.1968064,3,,POINT (123.1968064 13.6350183)
254707064,13.6352159,123.1972236,3,,POINT (123.1972236 13.6352159)
254707068,13.6354173,123.1976476,4,,POINT (123.1976476 13.6354173)
254707077,13.63561,123.198067,3,,POINT (123.198067 13.63561)
254707082,13.635808,123.1984846,3,,POINT (123.1984846 13.635808)
254707103,13.6128501,123.2186175,4,,POINT (123.2186175 13.6128501)
254707116,13.6199871,123.2016344,3,,POINT (123.2016344 13.6199871)
254707126,13.6230544,123.2294603,4,,POINT (123.2294603 13.6230544)
254707132,13.6241193,123.2294566,3,,POINT (123.2294566 13.6241193)
254707160,13.6438331,123.239688,3,,POINT (123.239688 13.6438331)
254707162,13.644446,123.2405059,3,,POINT (123.2405059 13.644446)
254707195,13.6440526,123.2396681,3,,POINT (123.2396681 13.6440526)
254707207,13.6442914,123.2396566,3,,POINT (123.2396566 13.6442914)
254707212,13.6445601,123.2386943,3,,POINT (123.2386943 13.6445601)
254707217,13.6445761,123.2389221,3,,POINT (123.2389221 13.6445761)
254707226,13.6451607,123.2367148,3,,POINT (123.2367148 13.6451607)
254707237,13.6438699,123.2405428,3,,POINT (123.2405428 13.6438699)
254707242,13.6449297,123.2402221,3,,POINT (123.2402221 13.6449297)
254707269,13.6453934,123.2397483,3,,POINT (123.2397483 13.6453934)
254707286,13.6436781,123.2384075,3,,POINT (123.2384075 13.6436781)
254707292,13.64357,123.2397127,3,,POINT (123.2397127 13.64357)
254707296,13.6450319,123.2381779,4,,POINT (123.2381779 13.6450319)
254707300,13.6447861,123.2381866,4,,POINT (123.2381866 13.6447861)
254707308,13.6497501,123.2344792,3,,POINT (123.2344792 13.6497501)
254707316,13.651602,123.2340463,3,,POINT (123.2340463 13.651602)
254707338,13.6454315,123.2362375,4,,POINT (123.2362375 13.6454315)
254707851,13.6444641,123.2416661,3,,POINT (123.2416661 13.6444641)
254707857,13.6448528,123.2396179,3,,POINT (123.2396179 13.6448528)
254707881,13.6446149,123.2396243,4,,POINT (123.2396243 13.6446149)
254707883,13.6445559,123.238187,4,,POINT (123.238187 13.6445559)
254707886,13.6445602,123.2369401,3,,POINT (123.2369401 13.6445602)
254707898,13.6437526,123.2403201,3,,POINT (123.2403201 13.6437526)
254707910,13.6447879,123.23703,3,,POINT (123.23703 13.6447879)
254707932,13.6240374,123.2288686,3,,POINT (123.2288686 13.6240374)
254707933,13.6240213,123.2291413,3,,POINT (123.2291413 13.6240213)
254707947,13.6232344,123.2292596,3,,POINT (123.2292596 13.6232344)
254707953,13.6240736,123.2285979,3,,POINT (123.2285979 13.6240736)
254707961,13.6221736,123.2302518,3,,POINT (123.2302518 13.6221736)
254707972,13.6225769,123.2299018,3,,POINT (123.2299018 13.6225769)
254707978,13.6242893,123.2298071,3,,POINT (123.2298071 13.6242893)
254707983,13.6229816,123.2303433,3,,POINT (123.2303433 13.6229816)
254707998,13.646485,123.235652,3,,POINT (123.235652 13.646485)
254708025,13.61975,123.2296915,3,,POINT (123.2296915 13.61975)
254708037,13.6196779,123.2291365,3,,POINT (123.2291365 13.6196779)
254708042,13.6228321,123.2296734,3,,POINT (123.2296734 13.6228321)
254708062,13.6233765,123.2289845,3,,POINT (123.2289845 13.6233765)
254708103,13.614236,123.21897,1,,POINT (123.21897 13.614236)
254708106,13.6141236,123.2196005,3,,POINT (123.2196005 13.6141236)
254708133,13.6455122,123.2372613,3,,POINT (123.2372613 13.6455122)
254708147,13.6474898,123.2348131,3,,POINT (123.2348131 13.6474898)
254708169,13.6463594,123.2355639,4,,POINT (123.2355639 13.6463594)
254708172,13.6473555,123.2356844,3,,POINT (123.2356844 13.6473555)
254708174,13.6473503,123.2354893,3,,POINT (123.2354893 13.6473503)
254708176,13.646658,123.235504,3,,POINT (123.235504 13.646658)
254708178,13.6474183,123.2350639,3,,POINT (123.2350639 13.6474183)
254708181,13.6132375,123.2170584,3,,POINT (123.2170584 13.6132375)
254708191,13.612171,123.2185572,4,,POINT (123.2185572 13.612171)
254708196,13.6116219,123.2184587,1,,POINT (123.2184587 13.6116219)
254708198,13.6118806,123.2180108,1,,POINT (123.2180108 13.6118806)
254708202,13.6122105,123.2182896,4,,POINT (123.2182896 13.6122105)
254708213,13.6132179,123.2180497,3,,POINT (123.2180497 13.6132179)
254708216,13.6122572,123.2179736,3,,POINT (123.2179736 13.6122572)
254708218,13.6123237,123.2174985,3,,POINT (123.2174985 13.6123237)
254708221,13.6132189,123.2176428,3,,POINT (123.2176428 13.6132189)
254708223,13.6123534,123.2172976,3,,POINT (123.2172976 13.6123534)
254708225,13.6132382,123.2174067,3,,POINT (123.2174067 13.6132382)
254708233,13.6126737,123.2173382,3,,POINT (123.2173382 13.6126737)
254708237,13.6124212,123.2169105,3,,POINT (123.2169105 13.6124212)
254708252,13.6159492,123.2245899,3,,POINT (123.2245899 13.6159492)
254708263,13.6147393,123.2228989,3,,POINT (123.2228989 13.6147393)
254708272,13.6130192,123.2193693,3,,POINT (123.2193693 13.6130192)
254708290,13.6152079,123.2210964,3,,POINT (123.2210964 13.6152079)
254708300,13.6145478,123.2201953,3,,POINT (123.2201953 13.6145478)
254708303,13.614562,123.2213247,3,,POINT (123.2213247 13.614562)
254708308,13.6151082,123.2213957,3,,POINT (123.2213957 13.6151082)
254708322,13.6152563,123.2203527,1,,POINT (123.2203527 13.6152563)
254708329,13.6260845,123.1790629,3,,POINT (123.1790629 13.6260845)
254708332,13.6260094,123.1792711,3,,POINT (123.1792711 13.6260094)
254708334,13.625582,123.179016,3,,POINT (123.179016 13.625582)
254708338,13.6270207,123.1773277,3,,POINT (123.1773277 13.6270207)
254708346,13.6259774,123.1783385,3,,POINT (123.1783385 13.6259774)
254708348,13.625572,123.1785835,3,,POINT (123.1785835 13.625572)
254708350,13.6261841,123.1788807,3,,POINT (123.1788807 13.6261841)
254708353,13.6259473,123.1775204,4,,POINT (123.1775204 13.6259473)
