osmid,y,x,street_count,highway,ref,geometry
12182177,14.285229,121.0885473,3,,,POINT (121.0885473 14.285229)
12188714,14.2940676,121.1065582,3,traffic_signals,,POINT (121.1065582 14.2940676)
12188743,14.2806239,121.1207907,3,,,POINT (121.1207907 14.2806239)
12188748,14.281072,121.1208839,4,,,POINT (121.1208839 14.281072)
12188772,14.2835651,121.1195496,3,,,POINT (121.1195496 14.2835651)
12188773,14.2832859,121.1193694,3,,,POINT (121.1193694 14.2832859)
12188776,14.281172,121.1204214,3,,,POINT (121.1204214 14.281172)
12188782,14.2831517,121.1196091,3,,,POINT (121.1196091 14.2831517)
12188804,14.292253,121.1025011,3,,,POINT (121.1025011 14.292253)
12188809,14.2922987,121.102886,3,,,POINT (121.102886 14.2922987)
12188814,14.2934455,121.1047637,3,,,POINT (121.1047637 14.2934455)
12188820,14.2915617,121.0985412,3,,,POINT (121.0985412 14.2915617)
12188838,14.2770435,121.0832156,3,,,POINT (121.0832156 14.2770435)
12188861,14.26531,121.0760459,4,,,POINT (121.0760459 14.26531)
12188874,14.2585081,121.0700843,3,,,POINT (121.0700843 14.2585081)
12188891,14.236824,121.0548091,3,,,POINT (121.0548091 14.236824)
253492605,14.3192004,121.1150606,3,,,POINT (121.1150606 14.3192004)
253495657,14.3184114,121.1122349,3,,,POINT (121.1122349 14.3184114)
253495921,14.3173339,121.1121978,3,,,POINT (121.1121978 14.3173339)
253498603,14.3005104,121.1073479,3,,,POINT (121.1073479 14.3005104)
253499679,14.3136642,121.1113321,3,,,POINT (121.1113321 14.3136642)
253499709,14.233444,121.0871629,3,,,POINT (121.0871629 14.233444)
253500898,14.3063412,121.1114517,3,,,POINT (121.1114517 14.3063412)
253503745,14.3058556,121.1120137,3,,,POINT (121.1120137 14.3058556)
253504108,14.304419,121.1094703,3,,,POINT (121.1094703 14.304419)
253504242,14.2442718,121.0820781,3,,,POINT (121.0820781 14.2442718)
253504352,14.3071928,121.1129331,3,,,POINT (121.1129331 14.3071928)
253504738,14.3033854,121.1090916,3,,,POINT (121.1090916 14.3033854)
253506482,14.3055166,121.1245438,3,,,POINT (121.1245438 14.3055166)
253507919,14.3226678,121.1059861,3,,,POINT (121.1059861 14.3226678)
253508189,14.3107894,121.1083817,2,,,POINT (121.1083817 14.3107894)
253510362,14.3032704,121.1090514,3,,,POINT (121.1090514 14.3032704)
253510548,14.3191557,121.1067261,3,,,POINT (121.1067261 14.3191557)
253510556,14.3147148,121.1122938,3,,,POINT (121.1122938 14.3147148)
253511358,14.3199296,121.1066786,3,,,POINT (121.1066786 14.3199296)
253763257,14.2671009,121.0722695,4,,,POINT (121.0722695 14.2671009)
253763815,14.3150482,121.1218456,4,,,POINT (121.1218456 14.3150482)
253764363,14.2433906,121.0690779,3,,,POINT (121.0690779 14.2433906)
253765067,14.3082852,121.1107772,4,,,POINT (121.1107772 14.3082852)
253765768,14.3178079,121.1105357,3,,,POINT (121.1105357 14.3178079)
253767720,14.3075982,121.1134088,3,,,POINT (121.1134088 14.3075982)
253768700,14.3194967,121.1065956,3,,,POINT (121.1065956 14.3194967)
253769276,14.2969658,121.1064031,3,,,POINT (121.1064031 14.2969658)
253769391,14.3007674,121.1075382,3,,,POINT (121.1075382 14.3007674)
253769758,14.3135418,121.1102372,3,,,POINT (121.1102372 14.3135418)
253770073,14.3167941,121.112174,3,,,POINT (121.112174 14.3167941)
253770221,14.3188415,121.1068346,4,,,POINT (121.1068346 14.3188415)
253770856,14.3116549,121.1105007,4,,,POINT (121.1105007 14.3116549)
253771564,14.3113248,121.1082262,3,,,POINT (121.1082262 14.3113248)
253773194,14.3182547,121.1153364,3,,,POINT (121.1153364 14.3182547)
253775807,14.3012588,121.1078686,3,,,POINT (121.1078686 14.3012588)
253781119,14.2982594,121.0960706,3,,,POINT (121.0960706 14.2982594)
253781178,14.2447939,121.0818965,3,,,POINT (121.0818965 14.2447939)
253781961,14.3066685,121.1123965,3,,,POINT (121.1123965 14.3066685)
253782985,14.3245364,121.105665,3,,,POINT (121.105665 14.3245364)
253783219,14.2404709,121.0718758,4,,,POINT (121.0718758 14.2404709)
253783802,14.3080847,121.1135472,3,,,POINT (121.1135472 14.3080847)
253783829,14.2822092,121.1112356,3,,,POINT (121.1112356 14.2822092)
253784246,14.3094295,121.1233996,3,,,POINT (121.1233996 14.3094295)
253787182,14.3214982,121.1123539,4,,,POINT (121.1123539 14.3214982)
253787506,14.3133045,121.114496,3,,,POINT (121.114496 14.3133045)
253788230,14.243495,121.0692148,3,,,POINT (121.0692148 14.243495)
253788991,14.3205027,121.1064683,3,,,POINT (121.1064683 14.3205027)
253789262,14.2985154,121.1270184,3,,,POINT (121.1270184 14.2985154)
253789288,14.3075005,121.113256,3,,,POINT (121.113256 14.3075005)
253789693,14.316581,121.1110221,3,,,POINT (121.1110221 14.316581)
253790089,14.3021402,121.1085001,3,,,POINT (121.1085001 14.3021402)
