u,v,key,osmid,highway,oneway,length,geometry,lanes,name,maxspeed,access,service,ref,bridge,width,junction,tunnel
268429212,2544479381,0,49038478,tertiary,False,72.811,"LINESTRING (123.2896794 9.3101228, 123.289681 9.310205099999999, 123.2899554 9.3107095)",,,,,,,,,,
268429212,8495942724,0,290356999,secondary,False,83.305,"LINESTRING (123.2896794 9.3101228, 123.2897759 9.310145199999999, 123.289847 9.3101386, 123.2899382 9.3101082, 123.2903596 9.3098569)",2,Palinpinon Road,,,,,,,,
268429212,3479114983,0,290356999,secondary,False,114.25500000000001,"LINESTRING (123.2896794 9.3101228, 123.2891658 9.3097879, 123.2888179 9.3095459)",2,Palinpinon Road,,,,,,,,
268429217,268431404,0,24695667,trunk,False,137.602,"LINESTRING (123.3063452 9.309346700000001, 123.307593 9.3094696)",2,San Juan Street,30,,,,,,,
268429217,268434286,0,24695667,trunk,False,89.55,"LINESTRING (123.3063452 9.309346700000001, 123.3055359 9.309243)",2,San Juan Street,30,,,,,,,
268429217,268433349,0,287496480,tertiary,False,92.948,"LINESTRING (123.3063452 9.309346700000001, 123.3062254 9.310174200000001)",2,Maria Christina,,,,,,,,
268429217,268430990,0,287496480,tertiary,False,138.526,"LINESTRING (123.3063452 9.309346700000001, 123.3065148 9.3081122)",2,Maria Christina,,,,,,,,
268429296,1249531918,0,24695616,pedestrian,False,24.998,"LINESTRING (123.3105251 9.304752499999999, 123.3107528 9.3047454)",,Colon,,,,,,,,
268429296,6243705487,0,109035613,secondary,False,56.489,"LINESTRING (123.3105251 9.304752499999999, 123.3100105 9.304738800000001)",2,Sen. Lorenzo G. Teves,20,yes,,,,,,
268429296,268434214,0,332496064,secondary,False,107.909,"LINESTRING (123.3105251 9.304752499999999, 123.3103719 9.3057111)",2,Rizal Avenue,,,,,,,,
268429296,268429419,0,"[921126184, 710506713]",tertiary,False,56.053,"LINESTRING (123.3105251 9.304752499999999, 123.310595 9.304351199999999, 123.3106117 9.304255700000001)",2,Rizal Avenue,,,,,,,,
268429352,268432695,0,24695689,unclassified,False,76.879,"LINESTRING (123.3085386 9.3042038, 123.3078382 9.304186899999999)",2,Acias Pinili,,,,,,,,
268429352,268431925,0,710506710,tertiary,False,59.206,"LINESTRING (123.3085386 9.3042038, 123.3085081 9.303672199999999)",2,Santa Catalina,,,,,,,,
268429352,268433422,0,710506711,tertiary,False,55.357,"LINESTRING (123.3085386 9.3042038, 123.3085712 9.3047006)",2,Santa Catalina,,,,,,,,
268429352,268429419,0,710506712,unclassified,False,227.559,"LINESTRING (123.3085386 9.3042038, 123.3106117 9.304255700000001)",2,Acias Pinili,,,,,,,,
268429419,268429352,0,710506712,unclassified,False,227.559,"LINESTRING (123.3106117 9.304255700000001, 123.3085386 9.3042038)",2,Acias Pinili,,,,,,,,
268429419,268429296,0,"[921126184, 710506713]",tertiary,False,56.053,"LINESTRING (123.3106117 9.304255700000001, 123.310595 9.304351199999999, 123.3105251 9.304752499999999)",2,Rizal Avenue,,,,,,,,
268429419,268431582,0,710506714,tertiary,False,251.50400000000002,"LINESTRING (123.3106117 9.304255700000001, 123.3107429 9.303653300000001, 123.3108735 9.3029235, 123.3109653 9.3023656, 123.3109595 9.3022388, 123.310853 9.3021642, 123.3107757 9.302130099999999)",2,Rizal Avenue,,,,,,,,
268429441,1251031960,0,104759175,service,True,72.465,"LINESTRING (123.3063213 9.3063571, 123.3063558 9.305706300000001)",,Katada Street,,,alley,,,,,
268429441,268434846,0,288264663,tertiary,False,74.239,"LINESTRING (123.3063213 9.3063571, 123.3056456 9.3063237)",2,Bishop Epifanio B. Surban Street,,,,,,,,
268429441,268434562,0,288264663,tertiary,False,45.323,"LINESTRING (123.3063213 9.3063571, 123.3067338 9.306377899999999)",2,Bishop Epifanio B. Surban Street,,,,,,,,
268429443,6678205069,0,230920944,tertiary,False,25.898,"LINESTRING (123.2995312 9.303137700000001, 123.2995664 9.303368000000001)",2,Colon Extension,,,,,,,,
268429443,6678195121,0,230920944,tertiary,False,68.737,"LINESTRING (123.2995312 9.303137700000001, 123.2995024 9.303031300000001, 123.2994616 9.3029872, 123.2992264 9.3027917, 123.2990877 9.302744300000001)",2,Colon Extension,,,,,,,,
268429443,6741859462,0,710383830,residential,False,55.422,"LINESTRING (123.2995312 9.303137700000001, 123.2994154 9.3031598, 123.2993685 9.303180899999999, 123.2993072 9.303217200000001, 123.2992122 9.3032284, 123.2991139 9.303215, 123.2990735 9.303224200000001, 123.2990582 9.303247000000001)",,Riverside Interior Road,,,,,,,,
268429463,1805883433,0,168277978,secondary,False,142.857,"LINESTRING (123.2677928 9.324392899999999, 123.2687933 9.325215)",,,,,,,,,,
268429463,9119027635,0,168277978,secondary,False,48.038,"LINESTRING (123.2677928 9.324392899999999, 123.2674628 9.324109)",,,,,,,,,,
268429534,268435180,0,332496064,secondary,False,65.568,"LINESTRING (123.3092608 9.3102459, 123.3093593 9.3096643)",2,Rizal Avenue,,,,,,,,
268429534,268432444,0,332496064,secondary,False,29.307,"LINESTRING (123.3092608 9.3102459, 123.3092158 9.3105057)",2,Rizal Avenue,,,,,,,,
268429534,1249531870,0,109035623,pedestrian,False,68.146,"LINESTRING (123.3092608 9.3102459, 123.3093485 9.3101533, 123.3094397 9.3096756)",,Rizal Boulevard,,,,,,,,
268429546,8392948339,0,24695647,service,False,18.948,"LINESTRING (123.2980427 9.301535299999999, 123.2978704 9.3015241)",,,,,driveway,,,,,
268429546,268432619,0,715998833,tertiary,False,53.354,"LINESTRING (123.2980427 9.301535299999999, 123.2980744 9.3010565)",2,Colon Extension,,,,,,,,
268429546,8392948333,0,715998833,tertiary,False,6.607,"LINESTRING (123.2980427 9.301535299999999, 123.2980411 9.301594700000001)",2,Colon Extension,,,,,,,,
268429562,268430663,0,24695690,tertiary,False,99.932,"LINESTRING (123.3042137 9.305896600000001, 123.3041862 9.3067949)",2,Libertad,,,,,,,,
268429562,6678199108,0,287499852,tertiary,False,176.02499999999998,"LINESTRING (123.3042137 9.305896600000001, 123.3041916 9.3059245, 123.3040938 9.305937800000001, 123.3039004 9.306018, 123.3036115 9.3060356, 123.3026427 9.305982500000001)",2,Dr. Miciano Road,,,,,,,,
268429562,268434655,0,287499924,tertiary,True,77.458,"LINESTRING (123.3042137 9.305896600000001, 123.304272 9.305836299999999, 123.3044232 9.305785200000001, 123.3048832 9.3057471)",2,Independencia,,,,,,,,
268429588,268434614,0,24695683,secondary,False,14.318,"LINESTRING (123.2942844 9.319489300000001, 123.2944086 9.319528800000001)",2,E. J. Blanco,,,,,,,,
268429588,268432999,0,24695683,secondary,False,50.449,"LINESTRING (123.2942844 9.319489300000001, 123.2938381 9.319380300000001)",2,E. J. Blanco,,,,,,,,
268429588,1795617694,0,168278021,residential,False,112.029,"LINESTRING (123.2942844 9.319489300000001, 123.2941623 9.3199209, 123.2940099 9.320459700000001)",,Saint Raymund,,,,,,,,
268429869,3707395424,0,109228591,service,False,47.006,"LINESTRING (123.3006993 9.3126175, 123.301061 9.312844)",,,,,,,,,,
268429869,268430719,0,366753146,service,False,40.91,"LINESTRING (123.3006993 9.3126175, 123.3008727 9.312291800000001)",,,,,driveway,,,,,
268429869,268434436,0,904059559,service,False,45.163,"LINESTRING (123.3006993 9.3126175, 123.3004411 9.3124892, 123.3003186 9.3124892)",,,,,,,,,,
268429889,7572174457,0,287496482,primary,False,3.738,"LINESTRING (123.3076928 9.306945799999999, 123.3076938 9.306912199999999)",2,Governor Perdices Street,40,,,7,,,,
268429889,7572174462,0,287496482,primary,False,7.059,"LINESTRING (123.3076928 9.306945799999999, 123.3076896 9.3070092)",2,Governor Perdices Street,40,,,7,,,,
268429889,7572174458,0,908011590,tertiary,False,8.279,"LINESTRING (123.3076928 9.306945799999999, 123.3076174 9.3069431)",2,Dr. Vicente Locsin,,,,,,,,
268429889,7572174459,0,908011590,tertiary,False,8.163,"LINESTRING (123.3076928 9.306945799999999, 123.3077671 9.3069495)",2,Dr. Vicente Locsin,,,,,,,,
268429893,2971102439,0,287500685,tertiary,False,36.269,"LINESTRING (123.3088478 9.309611200000001, 123.308825 9.3092858)",2,Santa Catalina,,,,,,,,
268429893,268431404,0,710507608,tertiary,False,138.587,"LINESTRING (123.3088478 9.309611200000001, 123.307593 9.3094696)",2,San Juan Street,30,,,,,,,
268429893,268435180,0,710507610,tertiary,False,56.437,"LINESTRING (123.3088478 9.309611200000001, 123.3093593 9.3096643)",2,San Juan Street,30,,,,,,,
268429914,9116806039,0,169423027,residential,False,23.347,"LINESTRING (123.3049231 9.3195005, 123.305134 9.3194727)",,,,,,,,,,
268429914,3396424441,0,287501095,tertiary,False,25.834,"LINESTRING (123.3049231 9.3195005, 123.3048811 9.3197291)",2,Route 7,,,,,,,,
268429914,8741577454,0,287501095,tertiary,False,100.45,"LINESTRING (123.3049231 9.3195005, 123.3049205 9.3188733, 123.3049108 9.3185973)",2,Route 7,,,,,,,,
268430090,268432341,0,24695617,tertiary,False,61.149,"LINESTRING (123.3068077 9.304159, 123.3068134 9.303609099999999)",,Mabini,,,,,,,,
268430090,268434848,0,24695617,tertiary,False,56.2,"LINESTRING (123.3068077 9.304159, 123.3067926 9.304664199999999)",,Mabini,,,,,,,,
268430090,268432695,0,24695689,unclassified,False,113.122,"LINESTRING (123.3068077 9.304159, 123.3078382 9.304186899999999)",2,Acias Pinili,,,,,,,,
268430090,268434746,0,24695689,unclassified,False,119.434,"LINESTRING (123.3068077 9.304159, 123.3057196 9.304133200000001)",2,Acias Pinili,,,,,,,,
