osmid,y,x,street_count,highway,geometry
268429212,9.3101228,123.2896794,3,,POINT (123.2896794 9.3101228)
268429217,9.3093467,123.3063452,4,,POINT (123.3063452 9.309346700000001)
268429296,9.3047525,123.3105251,4,,POINT (123.3105251 9.304752499999999)
268429352,9.3042038,123.3085386,4,,POINT (123.3085386 9.3042038)
268429419,9.3042557,123.3106117,3,,POINT (123.3106117 9.304255700000001)
268429441,9.3063571,123.3063213,3,,POINT (123.3063213 9.3063571)
268429443,9.3031377,123.2995312,3,,POINT (123.2995312 9.303137700000001)
268429463,9.3243929,123.2677928,3,,POINT (123.2677928 9.324392899999999)
268429534,9.3102459,123.3092608,3,,POINT (123.3092608 9.3102459)
268429546,9.3015353,123.2980427,3,,POINT (123.2980427 9.301535299999999)
268429562,9.3058966,123.3042137,4,,POINT (123.3042137 9.305896600000001)
268429588,9.3194893,123.2942844,3,,POINT (123.2942844 9.319489300000001)
268429869,9.3126175,123.3006993,3,,POINT (123.3006993 9.3126175)
268429889,9.3069458,123.3076928,4,,POINT (123.3076928 9.306945799999999)
268429893,9.3096112,123.3088478,3,,POINT (123.3088478 9.309611200000001)
268429914,9.3195005,123.3049231,3,,POINT (123.3049231 9.3195005)
268430090,9.304159,123.3068077,4,,POINT (123.3068077 9.304159)
268430143,9.3108383,123.3046458,3,,POINT (123.3046458 9.3108383)
268430236,9.3168023,123.3017948,4,,POINT (123.3017948 9.316802300000001)
268430316,9.3080843,123.3087571,4,,POINT (123.3087571 9.308084300000001)
268430466,9.3273937,123.3047894,4,,POINT (123.3047894 9.3273937)
268430551,9.2998136,123.2932078,3,,POINT (123.2932078 9.2998136)
268430613,9.3086447,123.3076253,3,,POINT (123.3076253 9.3086447)
268430617,9.3207794,123.3000402,4,,POINT (123.3000402 9.320779399999999)
268430663,9.3067949,123.3041862,3,,POINT (123.3041862 9.3067949)
268430719,9.3122918,123.3008727,3,,POINT (123.3008727 9.312291800000001)
268430720,9.3189018,123.3006977,3,,POINT (123.3006977 9.318901800000001)
268430726,9.3069954,123.3086974,4,,POINT (123.3086974 9.3069954)
268430733,9.325565,123.3033866,3,,POINT (123.3033866 9.325564999999999)
268430752,9.313728,123.3122785,1,,POINT (123.3122785 9.313727999999999)
268430789,9.3097842,123.28612,3,,POINT (123.28612 9.309784199999999)
268430848,9.3161453,123.3072912,4,,POINT (123.3072912 9.316145300000001)
268430885,9.3129743,123.2981626,3,,POINT (123.2981626 9.3129743)
268430913,9.3099039,123.3035801,4,,POINT (123.3035801 9.3099039)
268430990,9.3081122,123.3065148,4,,POINT (123.3065148 9.3081122)
268430998,9.3005311,123.3075489,3,,POINT (123.3075489 9.300531100000001)
268431020,9.3249485,123.2754995,3,,POINT (123.2754995 9.3249485)
268431078,9.30357,123.3057397,4,,POINT (123.3057397 9.303570000000001)
268431099,9.3100844,123.3054136,4,,POINT (123.3054136 9.310084399999999)
268431115,9.3065703,123.3100913,4,,POINT (123.3100913 9.306570300000001)
268431158,9.3041142,123.3049582,3,,POINT (123.3049582 9.304114200000001)
268431250,9.3114707,123.3092094,4,,POINT (123.3092094 9.311470699999999)
268431344,9.3193673,123.2928245,3,,POINT (123.2928245 9.3193673)
268431360,9.295065,123.2950897,3,,POINT (123.2950897 9.295064999999999)
268431361,9.3083781,123.2918391,3,,POINT (123.2918391 9.308378100000001)
268431404,9.3094696,123.307593,4,,POINT (123.307593 9.3094696)
268431407,9.2994648,123.3029119,4,,POINT (123.3029119 9.299464800000001)
268431418,9.3056766,123.3056658,4,,POINT (123.3056658 9.3056766)
268431532,9.3298639,123.2909629,3,,POINT (123.2909629 9.329863899999999)
268431582,9.3021301,123.3107757,3,,POINT (123.3107757 9.302130099999999)
268431609,9.3247932,123.2761811,3,,POINT (123.2761811 9.3247932)
268431767,9.3052691,123.3049062,4,,POINT (123.3049062 9.3052691)
268431797,9.3059172,123.3086533,3,,POINT (123.3086533 9.3059172)
268431854,9.3253359,123.271142,3,,POINT (123.271142 9.325335900000001)
268431858,9.3085581,123.3095724,4,,POINT (123.3095724 9.308558100000001)
268431900,9.3234247,123.2793353,3,,POINT (123.2793353 9.3234247)
268431904,9.3120221,123.309757,3,,POINT (123.309757 9.3120221)
268431916,9.3171472,123.3047509,3,,POINT (123.3047509 9.317147200000001)
268431919,9.3284379,123.2836939,4,,POINT (123.2836939 9.328437900000001)
268431925,9.3036722,123.3085081,3,,POINT (123.3085081 9.303672199999999)
268432218,9.3027119,123.3068077,3,,POINT (123.3068077 9.3027119)
268432341,9.3036091,123.3068134,4,,POINT (123.3068134 9.303609099999999)
268432395,9.3068658,123.3056142,4,,POINT (123.3056142 9.306865800000001)
268432422,9.3103228,123.3075508,4,,POINT (123.3075508 9.3103228)
268432442,9.2943998,123.2973896,4,,POINT (123.2973896 9.294399800000001)
268432444,9.3105057,123.3092158,3,,POINT (123.3092158 9.3105057)
268432445,9.3064274,123.3077118,4,,POINT (123.3077118 9.3064274)
268432464,9.3081312,123.3055765,4,,POINT (123.3055765 9.3081312)
268432483,9.3255717,123.3047702,3,,POINT (123.3047702 9.325571699999999)
268432493,9.3150999,123.2973846,3,,POINT (123.2973846 9.3150999)
268432500,9.3212868,123.307092,4,,POINT (123.307092 9.321286799999999)
268432517,9.3124832,123.3012373,3,,POINT (123.3012373 9.312483200000001)
268432613,9.3177882,123.2901655,3,,POINT (123.2901655 9.317788200000001)
268432618,9.3052756,123.3056772,3,,POINT (123.3056772 9.3052756)
268432619,9.3010565,123.2980744,4,,POINT (123.2980744 9.3010565)
268432678,9.3230489,123.2992627,3,,POINT (123.2992627 9.3230489)
268432689,9.3197348,123.2952472,3,,POINT (123.2952472 9.319734800000001)
268432695,9.3041869,123.3078382,4,,POINT (123.3078382 9.304186899999999)
268432698,9.3060169,123.3009479,3,,POINT (123.3009479 9.306016899999999)
268432815,9.305545,123.3086316,3,,POINT (123.3086316 9.305545)
268432832,9.3119251,123.3092372,4,,POINT (123.3092372 9.3119251)
268432908,9.3046489,123.3057005,4,,POINT (123.3057005 9.3046489)
268432984,9.3081017,123.3096938,4,,POINT (123.3096938 9.3081017)
268432999,9.3193803,123.2938381,3,,POINT (123.2938381 9.319380300000001)
268433000,9.3240991,123.2864477,4,,POINT (123.2864477 9.3240991)
268433018,9.3065595,123.309871,3,,POINT (123.309871 9.306559500000001)
268433022,9.323162,123.3016399,3,,POINT (123.3016399 9.323162)
268433027,9.3025363,123.3079168,4,,POINT (123.3079168 9.3025363)
268433034,9.3036075,123.3049023,3,,POINT (123.3049023 9.3036075)
268433058,9.3098558,123.3031363,4,,POINT (123.3031363 9.309855799999999)
268433075,9.3091748,123.3047187,3,,POINT (123.3047187 9.309174799999999)
268433110,9.29895,123.310178,3,,POINT (123.310178 9.29895)
268433122,9.305504,123.2947872,3,,POINT (123.2947872 9.305504000000001)
268433165,9.324587,123.2768272,3,,POINT (123.2768272 9.324586999999999)
268433278,9.2937592,123.2990592,4,,POINT (123.2990592 9.2937592)
268433300,9.3105868,123.3032045,4,,POINT (123.3032045 9.310586799999999)
268433314,9.3210975,123.3048451,4,,POINT (123.3048451 9.3210975)
268433349,9.3101742,123.3062254,3,,POINT (123.3062254 9.310174200000001)
268433368,9.3192698,123.2893198,3,,POINT (123.2893198 9.319269800000001)
268433377,9.3173268,123.2950019,4,,POINT (123.2950019 9.3173268)
268433383,9.3131109,123.2928572,3,,POINT (123.2928572 9.3131109)
268433422,9.3047006,123.3085712,4,,POINT (123.3085712 9.3047006)
