u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,length,geometry,service,bridge,width,access
16985637,8789587947,0,53844291,4,204,Benguet Provincial National Road,trunk,40,False,76.032,"LINESTRING (120.5910283 16.4468126, 120.5908795 16.4471342, 120.5907574 16.4473786, 120.5907303 16.4474337)",,,,
16985637,1409193667,0,53844291,4,204,Benguet Provincial National Road,trunk,40,False,66.446,"LINESTRING (120.5910283 16.4468126, 120.5910386 16.4467872, 120.59109 16.4466609, 120.5911383 16.4465091, 120.5912188 16.4462441)",,,,
16985637,3804492355,0,377086763,,,,service,,False,52.157999999999994,"LINESTRING (120.5910283 16.4468126, 120.5914226 16.4469464, 120.5914924 16.4469579)",,,,
16987440,4926674018,0,256012229,2,,Pico-Buyagan Road,secondary,,False,35.211,"LINESTRING (120.5764025 16.4478524, 120.5763816 16.4479065, 120.5763473 16.4480092, 120.5763197 16.4481067, 120.576307 16.4481553)",,,,
16987440,7936506224,0,508446422,2,,Pico-Lamtang Road,primary,,False,7.084,"LINESTRING (120.5764025 16.4478524, 120.5764202 16.4478249, 120.5764367 16.4477978)",,,,
16987440,3812471399,0,780061977,2,,Pico-Lamtang Road,primary,,False,101.037,"LINESTRING (120.5764025 16.4478524, 120.5763691 16.4478473, 120.5763341 16.4478376, 120.5763129 16.4478282, 120.5762917 16.4478187, 120.5759416 16.4476397, 120.5758113 16.447575, 120.5757062 16.4475329, 120.5755828 16.4474753, 120.5755506 16.4474603)",,,,
16987449,3801835634,0,508446422,2,,Pico-Lamtang Road,primary,,False,8.244,"LINESTRING (120.5769272 16.4470855, 120.5769736 16.4470262)",,,,
16987449,3801835637,0,376796481,,,,residential,,False,51.379000000000005,"LINESTRING (120.5769272 16.4470855, 120.5768134 16.4470082, 120.5766477 16.4468959, 120.576534 16.4468185)",,,,
16987449,7936506224,0,508446422,2,,Pico-Lamtang Road,primary,,False,94.948,"LINESTRING (120.5769272 16.4470855, 120.5766058 16.4475346, 120.5765377 16.4476397, 120.576471 16.4477412, 120.5764367 16.4477978)",,,,
16987456,3806555082,0,508446422,2,,Pico-Lamtang Road,primary,,False,42.463,"LINESTRING (120.5774272 16.4464423, 120.5776623 16.4461341)",,,,
16987456,3530432505,0,508446422,2,,Pico-Lamtang Road,primary,,False,17.194,"LINESTRING (120.5774272 16.4464423, 120.577324 16.4465611)",,,,
16987456,3801835642,0,376796482,,,,residential,,False,57.041,"LINESTRING (120.5774272 16.4464423, 120.5774845 16.4464821, 120.5775702 16.446543, 120.5776359 16.446592, 120.5777573 16.4466975, 120.5778307 16.4467766)",,,,
16987974,3802933061,0,473420643,2,,Pico-Lamtang Road,primary,,False,32.144,"LINESTRING (120.5861789 16.4452794, 120.5864686 16.4453592)",,,,
16987974,1141864408,0,98698166,,,Bayabas,residential,,False,259.39700000000005,"LINESTRING (120.5861789 16.4452794, 120.5861963 16.4451328, 120.5862097 16.4449566, 120.5862004 16.4448138, 120.5862245 16.4445849, 120.5862594 16.4443611, 120.5863211 16.4441193, 120.5863667 16.4440061, 120.5864739 16.4438388, 120.5866832 16.4435945, 120.5869299 16.4433732, 120.5870694 16.4432214)",,,,
16987974,6178290950,0,473420643,2,,Pico-Lamtang Road,primary,,False,50.715999999999994,"LINESTRING (120.5861789 16.4452794, 120.5859321 16.4452511, 120.5857122 16.4451971)",,,,
16987974,8725245525,0,942234766,,,,residential,,False,60.977000000000004,"LINESTRING (120.5861789 16.4452794, 120.5862017 16.4453939, 120.5862379 16.4455843, 120.5862392 16.4457116, 120.5862299 16.4458222)",,,,
16987976,4288101674,0,473420643,2,,Pico-Lamtang Road,primary,,False,6.678,"LINESTRING (120.5825767 16.4451971, 120.5826385 16.4451874)",,,,
16987976,3802932996,0,376916792,,,JF Ganasi & Abito Street,residential,,False,119.728,"LINESTRING (120.5825767 16.4451971, 120.5826022 16.4452987, 120.5826183 16.4453901, 120.5826303 16.4454698, 120.5826531 16.4455971, 120.5827376 16.4458531, 120.5827859 16.4460743, 120.5828315 16.4462441)",,,,
16987976,3802932990,0,473420643,2,,Pico-Lamtang Road,primary,,False,42.218,"LINESTRING (120.5825767 16.4451971, 120.5823018 16.4452061, 120.5821812 16.4451993)",,,,
16988049,8789587956,0,4524657,2,,Pico-Lamtang Road,primary,,False,25.336,"LINESTRING (120.5905697 16.4477863, 120.5903839 16.4476443)",,,,
16988049,8789587950,0,53844291,4,204,Benguet Provincial National Road,trunk,40,False,8.572,"LINESTRING (120.5905697 16.4477863, 120.590583 16.4477549, 120.5906 16.4477149)",,,,
16988049,3802951689,0,949432178,4,204,Benguet Provincial National Road,trunk,40,False,87.87899999999999,"LINESTRING (120.5905697 16.4477863, 120.5905321 16.4479329, 120.590512 16.4480796, 120.5905026 16.4485709)",,,,
27375121,3802907771,0,256012230,2,,Pico-Buyagan Road,secondary,,False,30.778,"LINESTRING (120.5778411 16.458216, 120.5780726 16.4583813)",,,,
27375121,1141864082,0,256012230,2,,Pico-Buyagan Road,secondary,,False,8.658,"LINESTRING (120.5778411 16.458216, 120.5777739 16.4581723)",,,,
27375121,3802907774,0,376913596,,,,service,,False,51.225,"LINESTRING (120.5778411 16.458216, 120.5781125 16.4578359)",,,,
27375149,3530013215,0,256012230,2,,Pico-Buyagan Road,secondary,,False,47.655,"LINESTRING (120.5792782 16.4589768, 120.5796859 16.4591523)",,,,
27375149,3530013213,0,256012230,2,,Pico-Buyagan Road,secondary,,False,27.356,"LINESTRING (120.5792782 16.4589768, 120.5790449 16.4588745)",,,,
27375149,3530013228,0,346479711,,,,residential,,False,201.28500000000003,"LINESTRING (120.5792782 16.4589768, 120.579183 16.4591176, 120.579122 16.4592006, 120.5788571 16.4595671, 120.578725 16.4597395, 120.5786587 16.4598083, 120.5785078 16.4599105, 120.5783415 16.4599999, 120.5781497 16.4600989, 120.5779526 16.4602083)",,,,
27375196,3802918070,0,256012230,2,,Pico-Buyagan Road,secondary,,False,66.95400000000001,"LINESTRING (120.5861055 16.4611595, 120.5861979 16.4611925, 120.5864664 16.4613017, 120.5865268 16.4613326, 120.5866655 16.4614005, 120.5866774 16.4614065)",,,,
27375196,3802917751,0,256012230,2,,Pico-Buyagan Road,secondary,,False,21.896,"LINESTRING (120.5861055 16.4611595, 120.5860253 16.4611478, 120.5859013 16.461141)",,,,
27375196,3802917756,0,376914827,,,,service,,False,40.086,"LINESTRING (120.5861055 16.4611595, 120.5861957 16.4609287, 120.5862365 16.4608216)",driveway,,,
279428693,311737984,0,53844203,2,204,La Trinidad Road,trunk,60,False,129.67000000000002,"LINESTRING (120.5946434 16.439392, 120.5946368 16.4392458, 120.5946368 16.4391738, 120.5946522 16.4390572, 120.5947207 16.4385445, 120.5947472 16.4383432, 120.5947715 16.4382352)",,,,
279428693,8994967498,0,53844203,2,204,La Trinidad Road,trunk,60,False,29.083000000000002,"LINESTRING (120.5946434 16.439392, 120.5946699 16.4395594, 120.5946977 16.4396477)",,,,
279428693,8994967498,1,"[971865464, 971865465, 971865463]",,,,service,,False,65.32300000000001,"LINESTRING (120.5946434 16.439392, 120.5947848 16.4393903, 120.5948398 16.4394044, 120.594886 16.4394315, 120.5948961 16.4394552, 120.5949055 16.4395338, 120.5948954 16.4395652, 120.5948652 16.4395858, 120.5946977 16.4396477)",,,,
279428695,5125783115,0,53844203,2,204,La Trinidad Road,trunk,60,False,9.743,"LINESTRING (120.5936247 16.4412432, 120.5936837 16.4411763)",,,,
279428695,1409193933,0,28364444,2,204,La Trinidad Road,trunk,40,True,30.276,"LINESTRING (120.5936247 16.4412432, 120.5935577 16.4413924, 120.5935054 16.4414901)",,,,
311731208,3804362696,0,256012231,,,Lamtang Road,primary,,False,158.832,"LINESTRING (120.5459948 16.4374896, 120.546108 16.4375323, 120.5462314 16.4375908, 120.5464125 16.4376924, 120.5464755 16.4377361, 120.5465814 16.4378217, 120.5466418 16.437859, 120.5466995 16.4378796, 120.5467518 16.437895, 120.5468188 16.4378886, 120.5469288 16.4378577, 120.5470797 16.437833, 120.5471411 16.4378258, 120.5471954 16.4378309, 120.547346 16.4378941)",,,,
