u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,ref,junction,geometry,width,access,bridge,service,tunnel
32436470,8295839635,0,864931217,True,4,Taytay Diversion Road,trunk,60,6.575,,,"LINESTRING (121.1363563 14.5578796, 121.1363425 14.5579372)",,,,,
32436491,2807822913,0,16276347,True,,Ortigas Avenue Extension,trunk,,24.802,60,,"LINESTRING (121.143273 14.5775789, 121.1434654 14.5777017)",,,,,
32436491,2807822914,0,757990548,True,,Kaytikling Rotunda,trunk,,13.675,60,roundabout,"LINESTRING (121.143273 14.5775789, 121.1432764 14.5776125, 121.1432693 14.5776454, 121.1432525 14.5776749, 121.143237 14.5776909)",,,,,
32436553,2386041149,0,883718853,False,4,Rizal Avenue,primary,,6.139,601,,"LINESTRING (121.1319022 14.5658667, 121.131901 14.5659219)",,,,,
32436553,306337035,0,27906436,False,,,footway,,31.730000000000004,,,"LINESTRING (121.1319022 14.5658667, 121.131782 14.565748, 121.131721 14.5656445)",,,,,
32436553,619040592,0,883718853,False,4,Rizal Avenue,primary,,45.793,601,,"LINESTRING (121.1319022 14.5658667, 121.1319121 14.5657874, 121.1320477 14.5654825)",,,,,
123479003,2406456597,0,616093187,False,4,Highway 2000,primary,,29.666,C-6,,"LINESTRING (121.1313327 14.5567231, 121.1311536 14.5565203)",,,,,
123479003,8251259677,0,616093187,False,4,Highway 2000,primary,,57.547,C-6,,"LINESTRING (121.1313327 14.5567231, 121.131683 14.5571141)",,,,,
123479003,306337045,0,27905399,False,,,unclassified,,55.547,,,"LINESTRING (121.1313327 14.5567231, 121.1311328 14.5568651, 121.1309181 14.5570206)",,,,,
165952233,2388531248,0,189216570,False,4,Corazon C. Aquino Avenue,trunk,50,114.64099999999999,60,,"LINESTRING (121.1442187 14.5779095, 121.1443435 14.5779875, 121.144465 14.5780818, 121.1447526 14.5783853, 121.1449545 14.5786446)",13.2,,,,
165952233,2388531222,0,189216570,False,4,Corazon C. Aquino Avenue,trunk,50,27.148000000000003,60,,"LINESTRING (121.1442187 14.5779095, 121.1441092 14.5778603, 121.1439858 14.5778162)",13.2,,,,
165952233,2441291568,0,230338706,False,,Asia Pacific Nazarene Seminary,service,,106.284,,,"LINESTRING (121.1442187 14.5779095, 121.1442889 14.5778817, 121.1443665 14.5778508, 121.1446089 14.577777, 121.1447334 14.5777646, 121.1448241 14.5777861, 121.1448826 14.5778165, 121.1451152 14.5779822)",,,,,
243650561,306336356,0,27945824,False,,Monte Vista Road,tertiary,,33.178,,,"LINESTRING (121.1443117 14.568289, 121.1440035 14.5682817)",,,,,
243650561,1838355892,0,173003765,False,,Mount Carmel Road,residential,,38.173,,,"LINESTRING (121.1443117 14.568289, 121.1443033 14.5686322)",,,,,
243650561,1775757697,0,27945824,False,,Monte Vista Road,tertiary,,95.268,,,"LINESTRING (121.1443117 14.568289, 121.1446097 14.5683177, 121.1446926 14.5683334, 121.1447691 14.5683714, 121.1450126 14.568697)",,,,,
243650561,1775757668,0,173003765,False,,Mount Carmel Road,residential,,94.637,,,"LINESTRING (121.1443117 14.568289, 121.1443268 14.567748, 121.1443892 14.5676211, 121.1445302 14.5675208)",,,,,
243651565,3163955301,0,166090995,False,,Golden City Drive,tertiary,,12.979,,,"LINESTRING (121.1415058 14.5670437, 121.1414096 14.5671141)",,,,,
243651565,1775757648,0,166090995,False,,Golden City Drive,tertiary,,55.118,,,"LINESTRING (121.1415058 14.5670437, 121.141777 14.5667893, 121.1418783 14.5667037)",,,,,
243651565,567846324,0,263810990,True,4,Taytay Diversion Road,trunk,60,142.578,,,"LINESTRING (121.1415058 14.5670437, 121.1415697 14.5671346, 121.1422607 14.5680974)",,,,,
243651576,306336486,0,27906933,False,,Rhodolite,residential,,48.833,,,"LINESTRING (121.1431874 14.5663657, 121.1429305 14.5660037)",,,,,
243651576,306338708,0,"[166090995, 905996471]",False,,Golden City Drive,tertiary,,34.708,,,"LINESTRING (121.1431874 14.5663657, 121.1432841 14.5662597, 121.1433731 14.5661123)",,,,,
243651576,1775757636,0,166090995,False,,Golden City Drive,tertiary,,72.432,,,"LINESTRING (121.1431874 14.5663657, 121.1430937 14.5664294, 121.1429425 14.5664779, 121.1425434 14.5664678)",,,,,
244208960,306333271,0,27906024,False,,Ilang Ilang,residential,,52.638,,,"LINESTRING (121.1335531 14.5772497, 121.1331329 14.577492)",,,,,
244208960,306340391,0,55784756,False,2,Ilang Ilang,unclassified,,49.567,,,"LINESTRING (121.1335531 14.5772497, 121.1339372 14.5770037)",,,,,
