osmid,y,x,street_count,highway,geometry
32436470,14.5578796,121.1363563,3,,POINT (121.1363563 14.5578796)
32436491,14.5775789,121.143273,4,,POINT (121.143273 14.5775789)
32436553,14.5658667,121.1319022,3,,POINT (121.1319022 14.5658667)
123479003,14.5567231,121.1313327,3,,POINT (121.1313327 14.5567231)
165952233,14.5779095,121.1442187,3,,POINT (121.1442187 14.5779095)
243650561,14.568289,121.1443117,4,,POINT (121.1443117 14.568289)
243651565,14.5670437,121.1415058,4,,POINT (121.1415058 14.5670437)
243651576,14.5663657,121.1431874,3,,POINT (121.1431874 14.5663657)
244208960,14.5772497,121.1335531,4,,POINT (121.1335531 14.5772497)
250427708,14.5659653,121.13288,3,,POINT (121.13288 14.5659653)
266792110,14.5689623,121.1428975,4,,POINT (121.1428975 14.5689623)
266792113,14.5684031,121.145562,3,,POINT (121.145562 14.5684031)
266792117,14.5685353,121.1453149,3,,POINT (121.1453149 14.5685353)
266792119,14.568269,121.1458126,3,,POINT (121.1458126 14.568269)
266792120,14.5689048,121.145219,4,,POINT (121.145219 14.5689048)
266792123,14.5680936,121.1467642,3,,POINT (121.1467642 14.5680936)
290083454,14.5751768,121.1290232,3,,POINT (121.1290232 14.5751768)
290083496,14.5812891,121.1314489,3,,POINT (121.1314489 14.5812891)
290083516,14.5789685,121.1318877,3,,POINT (121.1318877 14.5789685)
290083552,14.5802149,121.1311507,4,,POINT (121.1311507 14.5802149)
290083553,14.5799361,121.1321193,4,,POINT (121.1321193 14.5799361)
290083554,14.5796812,121.1330078,4,,POINT (121.1330078 14.5796812)
290083555,14.5779301,121.1305655,3,,POINT (121.1305655 14.5779301)
290083560,14.5806659,121.1334193,3,crossing,POINT (121.1334193 14.5806659)
290083689,14.5794246,121.1325785,3,,POINT (121.1325785 14.5794246)
290083710,14.5805199,121.1317502,1,,POINT (121.1317502 14.5805199)
290083711,14.58008,121.1316177,4,,POINT (121.1316177 14.58008)
290083712,14.5780675,121.1310998,3,,POINT (121.1310998 14.5780675)
290083725,14.5791454,121.1313377,4,,POINT (121.1313377 14.5791454)
290083731,14.5774808,121.1301198,4,,POINT (121.1301198 14.5774808)
290083882,14.5756566,121.1292318,3,,POINT (121.1292318 14.5756566)
290083918,14.5752656,121.1302522,3,,POINT (121.1302522 14.5752656)
290083958,14.5747802,121.1300527,3,,POINT (121.1300527 14.5747802)
290083970,14.5745505,121.1299541,1,,POINT (121.1299541 14.5745505)
290083973,14.5764443,121.1295246,3,,POINT (121.1295246 14.5764443)
290083979,14.5762519,121.1300017,3,,POINT (121.1300017 14.5762519)
290083981,14.5760535,121.13057,4,,POINT (121.13057 14.5760535)
290084008,14.575707,121.1315314,3,,POINT (121.1315314 14.575707)
290084009,14.5758775,121.1316164,3,,POINT (121.1316164 14.5758775)
290084010,14.5755066,121.1322672,3,,POINT (121.1322672 14.5755066)
290084239,14.5766077,121.1307895,1,,POINT (121.1307895 14.5766077)
290084244,14.575425,121.1313737,3,,POINT (121.1313737 14.575425)
295289925,14.5531398,121.1260034,4,,POINT (121.1260034 14.5531398)
295290112,14.570464,121.1252535,4,,POINT (121.1252535 14.570464)
295290147,14.5600319,121.1240946,3,,POINT (121.1240946 14.5600319)
295290198,14.5722243,121.1260841,4,,POINT (121.1260841 14.5722243)
295290203,14.571334,121.1269067,3,,POINT (121.1269067 14.571334)
295290231,14.5718089,121.1258984,3,,POINT (121.1258984 14.5718089)
295290400,14.5703166,121.1256905,3,,POINT (121.1256905 14.5703166)
295290446,14.5712134,121.1261254,3,,POINT (121.1261254 14.5712134)
295290447,14.5716062,121.1263238,3,,POINT (121.1263238 14.5716062)
295290736,14.5714934,121.1294871,3,,POINT (121.1294871 14.5714934)
295290783,14.5689128,121.1290621,4,,POINT (121.1290621 14.5689128)
295290836,14.5700924,121.1293044,3,,POINT (121.1293044 14.5700924)
295290910,14.5676423,121.1290519,4,,POINT (121.1290519 14.5676423)
295290928,14.568706,121.1261296,3,,POINT (121.1261296 14.568706)
295290930,14.5675063,121.1278786,3,,POINT (121.1278786 14.5675063)
295290933,14.5692349,121.1273856,3,,POINT (121.1273856 14.5692349)
295290945,14.5687299,121.1273206,4,,POINT (121.1273206 14.5687299)
295290948,14.5670651,121.1273752,3,,POINT (121.1273752 14.5670651)
295290949,14.5670324,121.1265749,3,,POINT (121.1265749 14.5670324)
295290950,14.5670099,121.1261679,1,,POINT (121.1261679 14.5670099)
295290960,14.5674617,121.1265652,4,,POINT (121.1265652 14.5674617)
295290961,14.5687046,121.1265178,3,,POINT (121.1265178 14.5687046)
295290963,14.567477,121.1273593,4,,POINT (121.1273593 14.567477)
295290974,14.5682598,121.1258636,1,,POINT (121.1258636 14.5682598)
295290975,14.5682856,121.1265332,4,,POINT (121.1265332 14.5682856)
295290976,14.5683121,121.1273345,4,,POINT (121.1273345 14.5683121)
295290977,14.5683368,121.1278553,3,,POINT (121.1278553 14.5683368)
295290987,14.5678722,121.1265479,4,,POINT (121.1265479 14.5678722)
295290988,14.5678965,121.1273477,4,,POINT (121.1273477 14.5678965)
295291035,14.5662347,121.126307,1,,POINT (121.126307 14.5662347)
295291059,14.5698987,121.1281917,3,,POINT (121.1281917 14.5698987)
295291125,14.5716276,121.1287196,3,,POINT (121.1287196 14.5716276)
295291288,14.5703633,121.128358,4,,POINT (121.128358 14.5703633)
295291575,14.5694491,121.1354865,3,,POINT (121.1354865 14.5694491)
295291577,14.5692319,121.1352208,3,,POINT (121.1352208 14.5692319)
295291946,14.5703154,121.1386308,3,,POINT (121.1386308 14.5703154)
295292010,14.5702365,121.1390779,1,,POINT (121.1390779 14.5702365)
295292013,14.57083,121.1407062,3,,POINT (121.1407062 14.57083)
295292018,14.5702504,121.1356768,3,,POINT (121.1356768 14.5702504)
295292066,14.5715855,121.1376109,3,,POINT (121.1376109 14.5715855)
295292068,14.5720841,121.1375236,3,,POINT (121.1375236 14.5720841)
295292179,14.5666006,121.1338724,3,,POINT (121.1338724 14.5666006)
304161988,14.5390658,121.1279205,3,,POINT (121.1279205 14.5390658)
304162440,14.5370939,121.1292933,3,,POINT (121.1292933 14.5370939)
304164760,14.5376432,121.1289181,3,,POINT (121.1289181 14.5376432)
304165823,14.5593827,121.1347074,4,,POINT (121.1347074 14.5593827)
304168339,14.5365233,121.1296928,3,,POINT (121.1296928 14.5365233)
304169583,14.5423335,121.1255995,3,,POINT (121.1255995 14.5423335)
304169885,14.5578504,121.1325367,3,,POINT (121.1325367 14.5578504)
304170582,14.5587664,121.1356999,4,,POINT (121.1356999 14.5587664)
304171709,14.5412338,121.1263914,3,,POINT (121.1263914 14.5412338)
304174535,14.5428741,121.1252138,3,,POINT (121.1252138 14.5428741)
304174911,14.5380147,121.1286543,3,,POINT (121.1286543 14.5380147)
304175380,14.5741067,121.1402404,3,,POINT (121.1402404 14.5741067)
304175481,14.5434089,121.1248317,3,,POINT (121.1248317 14.5434089)
304175992,14.5594245,121.1353522,3,,POINT (121.1353522 14.5594245)
304177170,14.5419282,121.1258908,3,,POINT (121.1258908 14.5419282)
304179231,14.5408658,121.1266566,3,,POINT (121.1266566 14.5408658)
304233470,14.553244,121.1148935,3,,POINT (121.1148935 14.553244)
304233472,14.5529068,121.1151365,3,,POINT (121.1151365 14.5529068)
304233474,14.5524591,121.1154576,3,,POINT (121.1154576 14.5524591)
304233477,14.5522911,121.1155757,3,,POINT (121.1155757 14.5522911)
304233490,14.551569,121.1161074,3,,POINT (121.1161074 14.551569)
304233503,14.5509854,121.1165167,3,,POINT (121.1165167 14.5509854)
304233506,14.5505228,121.1168416,3,,POINT (121.1168416 14.5505228)
304233523,14.5500149,121.117214,3,,POINT (121.117214 14.5500149)
304233527,14.5498302,121.1173487,3,,POINT (121.1173487 14.5498302)
304233536,14.5490463,121.1178934,3,,POINT (121.1178934 14.5490463)
304233542,14.5488656,121.1180216,3,,POINT (121.1180216 14.5488656)
304233554,14.5483649,121.1183711,3,,POINT (121.1183711 14.5483649)
304233559,14.5482035,121.1184901,3,,POINT (121.1184901 14.5482035)
304233570,14.5476287,121.118897,3,,POINT (121.118897 14.5476287)
304465377,14.5372752,121.1291772,3,,POINT (121.1291772 14.5372752)
304465380,14.5385404,121.1282997,3,,POINT (121.1282997 14.5385404)
304465383,14.5392375,121.1277988,3,,POINT (121.1277988 14.5392375)
304465384,14.5394155,121.1276726,3,,POINT (121.1276726 14.5394155)
304465385,14.5399752,121.1272778,3,,POINT (121.1272778 14.5399752)
304465387,14.5403324,121.1270282,3,,POINT (121.1270282 14.5403324)
304465388,14.5405066,121.1269064,3,,POINT (121.1269064 14.5405066)
304465389,14.5406873,121.1267808,3,,POINT (121.1267808 14.5406873)
304465391,14.5414012,121.1262707,3,,POINT (121.1262707 14.5414012)
304465392,14.5415903,121.1261344,3,,POINT (121.1261344 14.5415903)
304465394,14.5432483,121.1249461,3,,POINT (121.1249461 14.5432483)
304465436,14.5469743,121.1193578,3,,POINT (121.1193578 14.5469743)
304465437,14.5467097,121.1195409,3,,POINT (121.1195409 14.5467097)
304465438,14.5464791,121.1197109,3,,POINT (121.1197109 14.5464791)
304465439,14.5462216,121.1198831,3,,POINT (121.1198831 14.5462216)
304465441,14.5457222,121.120224,3,,POINT (121.120224 14.5457222)
304465443,14.5452718,121.1205574,3,,POINT (121.1205574 14.5452718)
304465444,14.5450331,121.1207282,3,,POINT (121.1207282 14.5450331)
304465445,14.5447498,121.120919,3,,POINT (121.120919 14.5447498)
304465446,14.5445961,121.1210278,3,,POINT (121.1210278 14.5445961)
304465452,14.5430123,121.1221847,3,,POINT (121.1221847 14.5430123)
304465454,14.542847,121.1223055,3,,POINT (121.1223055 14.542847)
304465457,14.5423061,121.1227001,3,,POINT (121.1227001 14.5423061)
304465459,14.5419609,121.1229455,3,,POINT (121.1229455 14.5419609)
304465460,14.5418012,121.1230658,3,,POINT (121.1230658 14.5418012)
304465461,14.5415995,121.123203,3,,POINT (121.123203 14.5415995)
304465462,14.5414343,121.1233215,3,,POINT (121.1233215 14.5414343)
304465464,14.5410717,121.1235861,3,,POINT (121.1235861 14.5410717)
304465465,14.5409161,121.1237026,3,,POINT (121.1237026 14.5409161)
304465467,14.540554,121.1239485,3,,POINT (121.1239485 14.540554)
304465468,14.5403785,121.1240694,3,,POINT (121.1240694 14.5403785)
304465469,14.5401871,121.1242028,3,,POINT (121.1242028 14.5401871)
304465470,14.5400198,121.1243329,3,,POINT (121.1243329 14.5400198)
304465472,14.5396687,121.1245767,3,,POINT (121.1245767 14.5396687)
304465475,14.539123,121.1249506,3,,POINT (121.1249506 14.539123)
304465477,14.5387705,121.1251935,3,,POINT (121.1251935 14.5387705)
304465479,14.5384169,121.1254566,3,,POINT (121.1254566 14.5384169)
304465480,14.5382474,121.1255676,3,,POINT (121.1255676 14.5382474)
304465482,14.53772,121.1259514,3,,POINT (121.1259514 14.53772)
304465486,14.537372,121.126229,3,,POINT (121.126229 14.537372)
304465487,14.5371917,121.126344,3,,POINT (121.126344 14.5371917)
304465490,14.5366572,121.1267227,3,,POINT (121.1267227 14.5366572)
304465491,14.5364794,121.1268436,3,,POINT (121.1268436 14.5364794)
304465492,14.5363127,121.1269685,3,,POINT (121.1269685 14.5363127)
304465495,14.5357961,121.1273517,3,,POINT (121.1273517 14.5357961)
304465504,14.5346684,121.1281307,3,,POINT (121.1281307 14.5346684)
304465506,14.5343292,121.1283832,3,,POINT (121.1283832 14.5343292)
304465507,14.5341656,121.1285031,3,,POINT (121.1285031 14.5341656)
304465516,14.5339803,121.1286355,3,,POINT (121.1286355 14.5339803)
304465518,14.5336386,121.1288819,3,,POINT (121.1288819 14.5336386)
304465519,14.533458,121.1290076,3,,POINT (121.1290076 14.533458)
304748061,14.5663446,121.1293131,4,,POINT (121.1293131 14.5663446)
304752145,14.573577,121.1251656,3,,POINT (121.1251656 14.573577)
304948408,14.5593824,121.1352616,3,,POINT (121.1352616 14.5593824)
305147137,14.5691475,121.124775,3,,POINT (121.124775 14.5691475)
305147181,14.5503405,121.1217973,3,,POINT (121.1217973 14.5503405)
305179919,14.5578006,121.1362316,4,,POINT (121.1362316 14.5578006)
305181105,14.5584512,121.1358741,3,,POINT (121.1358741 14.5584512)
305181198,14.5582554,121.1346832,3,,POINT (121.1346832 14.5582554)
305182065,14.5704978,121.1407555,3,,POINT (121.1407555 14.5704978)
305195809,14.5813955,121.1480907,3,,POINT (121.1480907 14.5813955)
305195836,14.5685053,121.1459932,3,,POINT (121.1459932 14.5685053)
306330138,14.5594769,121.1331439,4,,POINT (121.1331439 14.5594769)
306330147,14.5621834,121.1567145,3,,POINT (121.1567145 14.5621834)
306330154,14.5359904,121.1068726,3,,POINT (121.1068726 14.5359904)
306330159,14.5696739,121.1460215,4,,POINT (121.1460215 14.5696739)
306330166,14.5721392,121.1528388,3,,POINT (121.1528388 14.5721392)
306330170,14.5481663,121.1108666,3,,POINT (121.1108666 14.5481663)
306330171,14.57671,121.1343031,3,,POINT (121.1343031 14.57671)
306330173,14.5699669,121.1402355,3,,POINT (121.1402355 14.5699669)
306330179,14.5363417,121.1258384,1,,POINT (121.1258384 14.5363417)
306330185,14.5532629,121.1431473,3,,POINT (121.1431473 14.5532629)
306330187,14.5692747,121.1505092,1,,POINT (121.1505092 14.5692747)
306330190,14.5754132,121.1372599,3,,POINT (121.1372599 14.5754132)
306330212,14.5435726,121.1260822,3,,POINT (121.1260822 14.5435726)
306330214,14.5420276,121.1106859,3,,POINT (121.1106859 14.5420276)
306330217,14.5865055,121.1484657,3,,POINT (121.1484657 14.5865055)
306330222,14.5428805,121.121194,1,,POINT (121.121194 14.5428805)
306330228,14.5696898,121.1399381,3,,POINT (121.1399381 14.5696898)
306330230,14.5529813,121.1490737,3,,POINT (121.1490737 14.5529813)
306330231,14.5888117,121.1491166,3,,POINT (121.1491166 14.5888117)
306330240,14.5823345,121.153615,4,,POINT (121.153615 14.5823345)
306330254,14.5385127,121.1084325,3,,POINT (121.1084325 14.5385127)
306330256,14.5500896,121.1466644,1,,POINT (121.1466644 14.5500896)
306330267,14.5601942,121.1329383,1,,POINT (121.1329383 14.5601942)
306330271,14.5655252,121.1246454,1,,POINT (121.1246454 14.5655252)
306330280,14.5370593,121.1097725,3,,POINT (121.1097725 14.5370593)
306330281,14.561546,121.1307288,1,,POINT (121.1307288 14.561546)
306330284,14.5389999,121.112126,3,,POINT (121.112126 14.5389999)
306330286,14.537381,121.1121216,3,,POINT (121.1121216 14.537381)
306330289,14.5698348,121.1480385,1,turning_circle,POINT (121.1480385 14.5698348)
306330296,14.5791251,121.1507383,3,,POINT (121.1507383 14.5791251)
306330298,14.5714068,121.1543568,3,,POINT (121.1543568 14.5714068)
306330309,14.5659961,121.1243575,1,,POINT (121.1243575 14.5659961)
306330313,14.5616017,121.1325149,4,,POINT (121.1325149 14.5616017)
306330326,14.5375131,121.1066331,4,,POINT (121.1066331 14.5375131)
306330328,14.5654168,121.1571275,3,,POINT (121.1571275 14.5654168)
306330336,14.564556,121.1428894,1,,POINT (121.1428894 14.564556)
306330343,14.5540785,121.1518142,3,,POINT (121.1518142 14.5540785)
306330346,14.5649787,121.1251695,3,,POINT (121.1251695 14.5649787)
306330347,14.5539979,121.1423873,1,,POINT (121.1423873 14.5539979)
306330350,14.559127,121.1342178,3,,POINT (121.1342178 14.559127)
306330368,14.5595299,121.1434661,3,,POINT (121.1434661 14.5595299)
306330369,14.5771409,121.1411948,3,,POINT (121.1411948 14.5771409)
306330373,14.5833423,121.144819,1,,POINT (121.144819 14.5833423)
306330377,14.5645688,121.1478672,3,,POINT (121.1478672 14.5645688)
306330381,14.5707816,121.1443736,3,,POINT (121.1443736 14.5707816)
306330384,14.5723226,121.1563374,3,,POINT (121.1563374 14.5723226)
306330417,14.5814282,121.144207,3,,POINT (121.144207 14.5814282)
306330418,14.5655713,121.1243394,1,,POINT (121.1243394 14.5655713)
306330431,14.5543276,121.141662,4,,POINT (121.141662 14.5543276)
306330438,14.5620502,121.1552439,3,,POINT (121.1552439 14.5620502)
306330444,14.572789,121.136076,1,,POINT (121.136076 14.572789)
306330448,14.5599104,121.120645,3,,POINT (121.120645 14.5599104)
306330451,14.5796889,121.1481614,1,,POINT (121.1481614 14.5796889)
306330456,14.5659702,121.1421587,3,,POINT (121.1421587 14.5659702)
306330460,14.560001,121.1343129,3,,POINT (121.1343129 14.560001)
306330464,14.5345779,121.1270328,1,,POINT (121.1270328 14.5345779)
306330485,14.5341358,121.1065666,3,,POINT (121.1065666 14.5341358)
306330489,14.5642112,121.1338155,4,,POINT (121.1338155 14.5642112)
306330492,14.5448478,121.1103552,3,,POINT (121.1103552 14.5448478)
306330502,14.5566954,121.1456311,3,,POINT (121.1456311 14.5566954)
306330511,14.5824734,121.1376975,4,,POINT (121.1376975 14.5824734)
306330515,14.5616593,121.1312357,3,,POINT (121.1312357 14.5616593)
306330517,14.5630545,121.1310491,3,,POINT (121.1310491 14.5630545)
306330536,14.5577005,121.1217833,1,,POINT (121.1217833 14.5577005)
306330538,14.5791939,121.1472948,1,,POINT (121.1472948 14.5791939)
306330546,14.5567702,121.1175015,1,,POINT (121.1175015 14.5567702)
306330553,14.5371902,121.1079281,3,,POINT (121.1079281 14.5371902)
306330556,14.5687258,121.1341942,3,,POINT (121.1341942 14.5687258)
306330576,14.547001,121.1430007,1,,POINT (121.1430007 14.547001)
306330585,14.5617335,121.1490523,3,,POINT (121.1490523 14.5617335)
306330593,14.5676506,121.1355707,3,,POINT (121.1355707 14.5676506)
306330595,14.5647659,121.1357499,3,,POINT (121.1357499 14.5647659)
306330596,14.5371878,121.1303069,3,,POINT (121.1303069 14.5371878)
306330601,14.5371619,121.1120669,3,,POINT (121.1120669 14.5371619)
